dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,0,15,18451,0,11997,0.0,,0.015956025999912526,0.7372686933768422,0.2571205198764801,0.8205124753168833,0.5517372481887101,0.9269511780410317,0.3320487116643505,0.5268821120262146,0.23447528548803867,0.38359589897474367
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,1,15,18451,1,11996,1.2443980874732666e-05,,0.03233022299991717,0.7372281376251041,0.2571004033088684,0.8205211783310545,0.5517557849483046,0.926950194477818,0.332017550613233,0.5268755555152893,0.23449483161053686,0.3836278759586529
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,2,15,18451,2,11995,3.846321361281006e-05,,0.04823185299937904,0.7372267584067334,0.2570984661579132,0.8205134274581124,0.551760909384354,0.9269423272155548,0.332001092124353,0.526861846446991,0.23443101292205085,0.38365985827428095
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,5,15,18451,5,11992,3.484314644925147e-05,,0.06430527799966512,0.7371235142564192,0.25705286860466003,0.820541149939279,0.5518388749998415,0.9269332576175493,0.33193209463403645,0.5268637537956238,0.23448965977318212,0.38367244829886593
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,10,15,18451,10,11987,8.869164550718555e-05,,0.080166867999651,0.7370730127821571,0.2570290267467499,0.8205769047887778,0.551916670437508,0.9269390557388621,0.3319036876741597,0.5268353819847107,0.23450404604988737,0.38374906148327353
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,20,15,18451,20,11977,0.0001417482548730912,,0.09614781099935499,0.7371241275411008,0.2570483386516571,0.8206003720509598,0.5519897788508097,0.9269305611551151,0.3319254151327817,0.526807427406311,0.23436586791350086,0.38373549302830423
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,50,15,18451,50,11947,0.00012161163127579651,,0.11205104499913432,0.7377014107443052,0.2572738230228424,0.8201733118518402,0.5510538430404267,0.9268369535884884,0.3321385294388576,0.526818037033081,0.23461956976646858,0.38386205742027285
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,100,15,18451,100,11897,0.00013371623085394556,,0.12848517899965373,0.7378487733144401,0.2573089003562927,0.8202360814741447,0.5513704422925648,0.9267436178849007,0.33215491507993655,0.5268116593360901,0.2345969572161049,0.3836261242329999
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,200,15,18451,200,11797,0.00021957969888960097,,0.14425528699939605,0.7376724300199371,0.2572779059410095,0.8199430764445836,0.5519646896436412,0.9264119364351112,0.33177928409405033,0.5267664194107056,0.23497499364245147,0.38391116385521745
responses_static,static,hash,global_word_prior,uniform_random,split_0,user0,500,15,18451,500,11497,0.0002425444999584258,,0.1609045999994123,0.7386468010164183,0.2576766908168793,0.8194103292049277,0.5516355810253868,0.9262842950083549,0.3322043100599907,0.5267543196678162,0.23562668522223187,0.38366530399234583
