dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,0,15,18451,0,11997,0.0,,0.09589710199907131,0.7312603674422802,0.25582751631736755,0.8000559721859511,0.534552599680794,0.9181067877648424,0.32524308569669086,0.5429588556289673,0.3090772693173293,0.3462532299741602
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,1,15,18451,1,11996,2.0638162729278462e-05,,0.14729940200049896,0.7312770923553156,0.255834698677063,0.8000393738409629,0.5345543033236766,0.9180926819624857,0.3252358749234336,0.5429476499557495,0.30901967322440815,0.3462820940313438
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,2,15,18451,2,11995,3.0298579325961996e-05,,0.17765943199992762,0.7313090198533133,0.25584882497787476,0.800019588751203,0.5345548985975785,0.918075453577571,0.3252384674547861,0.5429424047470093,0.3090454355981659,0.34631096290120883
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,5,15,18451,5,11992,2.360215418507909e-05,,0.20302307400015707,0.731246892481527,0.2558291554450989,0.8000297188806171,0.5346610860977732,0.9180525348345286,0.3251923046145014,0.5429460406303406,0.3090393595730487,0.34631420947298197
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,10,15,18451,10,11987,1.0099526441987331e-05,,0.22816186700038088,0.7310836739777081,0.25577306747436523,0.8000709008423144,0.5348735804443787,0.9180255580778637,0.32509239086645236,0.542953372001648,0.3090848419120714,0.34629181613414534
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,20,15,18451,20,11977,-6.268293041711703e-05,,0.25361700099892914,0.731178952465835,0.2557999789714813,0.8003416241507296,0.5346766162860133,0.9182590773134857,0.3253540031296528,0.542992889881134,0.30917592051431914,0.34624697336561744
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,50,15,18451,50,11947,-0.00010308103618506636,,0.27839007699913054,0.7315173404834701,0.25593098998069763,0.8002894806877046,0.5344607181004378,0.9183007762592119,0.32558015123791717,0.5430148243904114,0.30903155603917304,0.34627940068636476
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,100,15,18451,100,11897,-0.0002605019157264776,,0.3033447409998189,0.7309313241284942,0.2557167410850525,0.8002168036167507,0.5344874495310199,0.9182718954535747,0.32525006894232333,0.5431002974510193,0.3094057325376145,0.34605362696478104
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,200,15,18451,200,11797,-0.0004049690548314268,,0.3201862379992235,0.7317792656465025,0.2560330927371979,0.7991640564379218,0.5328044920235891,0.9178057914776605,0.3251823995483748,0.5431787371635437,0.30940069509197254,0.34568110536577096
responses_static,cold_word,hash,global_word_prior,uniform_random,split_0,user0,500,15,18451,500,11497,-0.00013052540151655366,,0.33694036199995026,0.731380854638386,0.2557957172393799,0.7987593761276547,0.5332412074635262,0.9170960968887731,0.3239847967345901,0.5430297255516052,0.30895016091154215,0.3463512220579282
responses_static,cold_word,hash,global_word_prior,uniform_random,split_1,user1,0,15,18451,0,11997,0.0,,0.015927561000353307,0.47252106775614594,0.15358395874500275,0.8782563061716724,0.865827000851044,0.8675435618793398,0.10046632514689441,0.5567582249641418,0.3259981662082187,0.30824372759856633
responses_static,cold_word,hash,global_word_prior,uniform_random,split_1,user1,1,15,18451,1,11996,-4.98883774319112e-05,,0.032857394000529894,0.4725554039056678,0.15359646081924438,0.8782357332580509,0.8657793077626987,0.8675436383128086,0.10046979260207634,0.5567860007286072,0.32602534178059356,0.30818606202067356
responses_static,cold_word,hash,global_word_prior,uniform_random,split_1,user1,2,15,18451,2,11995,-9.97767548638224e-05,,0.04990006200023345,0.47258974578026675,0.1536089926958084,0.8782151533384995,0.865731586103892,0.8675437147590215,0.10047326457095475,0.5568137764930725,0.3260525218841184,0.30812838682784494
responses_static,cold_word,hash,global_word_prior,uniform_random,split_1,user1,5,15,18451,5,11992,-5.823879253854011e-05,,0.06656934300008288,0.4724612761864644,0.15355010330677032,0.8783340345675055,0.8658611384692723,0.8676305939046197,0.1005450060200928,0.5567906498908997,0.326050700466978,0.30820547031354234
responses_static,cold_word,hash,global_word_prior,uniform_random,split_1,user1,10,15,18451,10,11987,-8.596645295670534e-05,,0.08236623099946883,0.4725352078425744,0.15358327329158783,0.8782530253959141,0.8658373197290665,0.8674900290941219,0.1004838830868098,0.5568060874938965,0.3261032785517644,0.3082506048218904
responses_static,cold_word,hash,global_word_prior,uniform_random,split_1,user1,20,15,18451,20,11977,-6.134343405254316e-05,,0.0982586669997545,0.47253719433110214,0.1535884290933609,0.878248366541102,0.865813033093867,0.8675203876431197,0.10062671179856825,0.5567923784255981,0.32620856641896967,0.3082574935292644
responses_static,cold_word,hash,global_word_prior,uniform_random,split_1,user1,50,15,18451,50,11947,-0.0001612272455202967,,0.11402804200042738,0.4725431094576919,0.15358099341392517,0.8782126420587959,0.8657832559317714,0.8674359125446024,0.10057660149656857,0.5568479895591736,0.326274378505064,0.3081945258223822
responses_static,cold_word,hash,global_word_prior,uniform_random,split_1,user1,100,15,18451,100,11897,-0.0002784542268248949,,0.12992436199965596,0.4729346931766182,0.1537499874830246,0.8778429195001737,0.8654259409346539,0.867007536050628,0.1003095350356085,0.5569132566452026,0.32638480289148525,0.308060855677902
