estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds
twopl_irt_online_baseline,1000,0.8007543575905136,0.8392288806038011,0.41687683194721975,0.11888870457187295,0.8966877806169006,0.4400538659998574
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w50_50_bm060,1000,0.797931035356224,0.8396153496408111,0.41230433173837644,0.11890108145803803,0.8993938652098299,0.47142112356243615
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w55_45_bm060,1000,0.7965205827638211,0.8394959989087933,0.41200820512961467,0.11890670680510573,0.8993938652098299,0.44670127187509934
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w60_40_bm060,1000,0.7954024439496608,0.8393027643902883,0.4117352126981638,0.1189145619556604,0.8993938652098299,0.4602568959999189
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w65_35_bm060,1000,0.7949419266000923,0.839245930708375,0.41148092853820173,0.11892464940437557,0.8993938652098299,0.453483711812396
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w50_50_bm030,1000,0.794893540172619,0.839473265436028,0.41213629056527545,0.11882454623162672,0.8993938652098299,0.4728003390625872
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w55_45_bm030,1000,0.7946173232626369,0.8395869327998545,0.4118370382209149,0.11882882570423829,0.8993938652098299,0.4517673814378895
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w60_40_bm030,1000,0.7935106660974798,0.839666499954533,0.4115609235661149,0.11883532466199646,0.8993938652098299,0.45536574237473815
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w65_35_bm030,1000,0.791829970831262,0.839717650268255,0.41130351864142234,0.11884404522169283,0.8993938652098299,0.4532023818749167
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w55_45_bp030,1000,0.7913880706913243,0.8387685277803038,0.4118540350789763,0.11882584237153501,0.8993938652098299,0.4663710500628895
