estimator,q,accuracy,balanced_accuracy
rasch_highbudget_var25,10,0.7999290898473346,0.7672293551905449
rasch_highbudget_var25,20,0.7911622276029056,0.768950558736715
rasch_highbudget_var25,30,0.7908101445642183,0.7711258629963513
rasch_highbudget_var25,40,0.7803274232667057,0.7754268733702253
rasch_highbudget_var25,50,0.7911609609106889,0.7717100447214693
rasch_highbudget_var25,100,0.785366058670253,0.7761384258680089
