dataset_name,data_mode,evaluation_protocol,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user0,user0,10,16,31276,10,11987,0.0,,0.14762787700055924,0.6828982139374844,0.24091432988643646,0.5998164678401602,0.6910834318275341,0.7923425486599481,0.5546432333891567,0.916384020659485,0.3066568198826938,0.6061252355575562,0.3254358888796196,0.13256027362976558
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user0,user0,20,16,31276,20,11977,-0.007915651089467754,,0.26625753300049837,0.6921525705468999,0.24600805342197418,0.5743508391082909,0.6722992590824566,0.7878783674877646,0.5695177162421536,0.9123598076425089,0.3147489649169859,0.6109231114387512,0.36929114135426233,0.13216999248559738
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user0,user0,30,16,31276,30,11967,-0.015977726235985232,,0.3751530220006316,0.6873382574168,0.24551743268966675,0.5549427592546169,0.6594414748237418,0.781187123321447,0.5710761932232303,0.9094003364619976,0.31087072828543794,0.6158097386360168,0.385476727667753,0.120832288794184
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user0,user0,50,16,31276,50,11947,0.002894948163523712,,0.49510006200034695,0.6572329157523595,0.2335667461156845,0.5808989704528333,0.6709332741049472,0.8052593336822116,0.6628625035433475,0.9170139576725181,0.30616221384786807,0.6043705344200134,0.3750732401439692,0.16020758349376413
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user0,user0,100,16,31276,100,11897,0.03203018872674399,,0.6259523890003038,0.5742497224465392,0.19749099016189575,0.6659662099688998,0.6810322185445288,0.7819763783830445,0.688290925713301,0.8934734097450858,0.2516482887352636,0.5867109298706055,0.3240312683869883,0.20156341934941582
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user0,user0,200,16,31276,200,11797,0.12106988095497986,,0.7544961450003029,0.5690366276123452,0.19954539835453033,0.6554208697126388,0.6771830866237475,0.7934626281452379,0.7209734742474813,0.9063340845720707,0.24346853187880071,0.5327417254447937,0.23667033991692804,0.33695007205221666
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user1,user1,10,16,31276,10,11987,0.0,,0.11772714000017004,0.514484111361149,0.16849228739738464,0.7683323600567281,0.7689832256857105,0.8564414932013786,0.8585619178707197,0.8462485780859095,0.1082684726698977,0.6061117053031921,0.32101443230166016,0.13422874781012764
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user1,user1,20,16,31276,20,11977,0.008652684709122461,,0.24130855000021256,0.5231393694881626,0.17286823689937592,0.7572013024964516,0.7594026981616783,0.856410107631327,0.8561934853455463,0.8476984297872265,0.12260412530244326,0.6008672118186951,0.3095933873257076,0.14461050346497453
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user1,user1,30,16,31276,30,11967,0.005846669053691036,,0.3551992180000525,0.5205456712970128,0.17156967520713806,0.7600902481825019,0.7620664355798448,0.8600845641186015,0.8617824751616127,0.8477496750549565,0.12370309482204932,0.6025679707527161,0.3128603660065179,0.14180663491267653
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user1,user1,50,16,31276,50,11947,0.05692079560092585,,0.4694577640002535,0.48846746746978537,0.1587805598974228,0.7844647191763623,0.7866196924065157,0.8898066819898212,0.8913885330404295,0.8812206329795454,0.13846114584668628,0.5716113448143005,0.24533355654139113,0.23939064200217627
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user1,user1,100,16,31276,100,11897,0.07242330930279647,,0.5851895450005031,0.484051370061244,0.1580757200717926,0.7774228797175758,0.7792783535351189,0.8829745143618344,0.8936152327823518,0.8613883447083395,0.13876337867151584,0.5622150897979736,0.265276960578297,0.265192905774565
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user1,user1,200,16,31276,200,11797,0.10878763583002905,,0.7086351260004449,0.4767862039527385,0.15693874657154083,0.766296516063406,0.7685013661115766,0.8863986641953399,0.8982469594763945,0.8677697751071265,0.13770045000152525,0.5401742458343506,0.26633889972026786,0.3060947698567432
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user10,user10,10,16,31276,10,11987,0.0,,0.11875162399974215,0.5041531244211155,0.16319341957569122,0.7935263201801952,0.7942992594133376,0.8673042616595092,0.9015240068616089,0.8002246498888089,0.12317183340914487,0.6037225127220154,0.29790606490364563,0.13456244264620004
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user10,user10,20,16,31276,20,11977,0.017454614241414788,,0.23990585499996087,0.45505936742168274,0.1410190910100937,0.8468731735827002,0.8418165053700244,0.9140020556286044,0.9333610803061838,0.8767685880479112,0.16007624619431318,0.593184769153595,0.2482257660515989,0.15813642815396176
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user10,user10,30,16,31276,30,11967,0.043655787669653896,,0.3657364159998906,0.41431097850949866,0.12341966480016708,0.8839308097267485,0.8774259393042637,0.9429786854088803,0.9548021249136427,0.923397958201217,0.18033663371225006,0.5773665308952332,0.20832288794184006,0.20832288794184006
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user10,user10,50,16,31276,50,11947,0.12374566618714213,,0.4824927999998181,0.3389876905921298,0.09321627020835876,0.9199799112747971,0.90995030997719,0.9731158242111806,0.9781460308726206,0.9650461290994911,0.17761298840970108,0.5290144681930542,0.1304093077760107,0.37657989453419266
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user10,user10,100,16,31276,100,11897,0.21587731714659106,,0.6026941400004944,0.27941832072652273,0.07240375876426697,0.9360342943599227,0.9270089320040058,0.9849570086631834,0.987983350130213,0.9799682289187512,0.15936689994019942,0.473392516374588,0.09632680507691015,0.5438345801462554
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user10,user10,200,16,31276,200,11797,0.2759446519882991,,0.7182005730001038,0.2581854932244799,0.06753776967525482,0.9386284648639485,0.9308606400753776,0.9855697988607628,0.9896534562606575,0.980016775783349,0.14131375227836854,0.4371285140514374,0.09468508942951598,0.5825209799101466
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user11,user11,10,16,31276,10,11987,0.0,,0.11548928299998806,0.5316815875843232,0.17616480588912964,0.74714273796613,0.7667865185695218,0.8627923630733255,0.815178945840701,0.8905883711257273,0.15786957716543043,0.5983985662460327,0.29265037123550514,0.1504963710686577
responses_static,budget_sweep_current_best,within_user_completion,fasttext,response12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,uniform_random,within_user_0_user11,user11,20,16,31276,20,11977,0.010390397413725955,,0.22681808499964973,0.5425587112156,0.181403249502182,0.7286465725974784,0.7563919415389218,0.8660106066601115,0.8151424546189423,0.8958145899713927,0.16673101517745464,0.5921809673309326,0.28120564415128996,0.169992485597395
