dataset_name,data_mode,evaluation_protocol,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user0,user0,100,15,31276,100,11897,0.0,,0.09778388100016855,0.4925653610267475,0.1591954231262207,0.7675884676809279,0.7056419047356213,0.7906136637136837,0.5206524334926435,0.9175149799948099,0.10099029772793375,0.47421911358833313,0.16600823737076573,0.47793561402034124
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user0,user0,200,15,31276,200,11797,-0.024760445679475305,,0.19281206200002998,0.5086249948640976,0.16525980830192566,0.7586674578282614,0.7178506346525309,0.7938455180183235,0.5238053192595201,0.9191476496405495,0.127153336857172,0.485960990190506,0.1732643892515046,0.45477663812833774
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user1,user1,100,15,31276,100,11897,0.0,,0.09688076099996579,0.4903876700843921,0.1620122641324997,0.7618727410271497,0.7641562768256148,0.8642877709321716,0.8638781924030821,0.8577186633679916,0.09457613188531346,0.5097709894180298,0.18954358241573505,0.40447171555854416
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user1,user1,200,15,31276,200,11797,0.00044103867179543665,,0.21628578199988624,0.48815075181370327,0.16104349493980408,0.7636687293379673,0.7659825134267692,0.8666250689381709,0.8656953094256391,0.8607105266132182,0.095387773795927,0.509546160697937,0.18928541154530812,0.40510299228617447
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user10,user10,100,15,31276,100,11897,0.0,,0.09642300500013334,0.48469519289182145,0.15841713547706604,0.7712868790451374,0.7622093406817219,0.8434756804829098,0.8857076309105182,0.7634517899296311,0.02798933525982049,0.51131671667099,0.19080440447171557,0.40220223585777926
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user10,user10,200,15,31276,200,11797,-0.0069365508142418385,,0.3522226120001051,0.488938942059625,0.15971332788467407,0.7698567432398067,0.7704980721294556,0.8462627179946918,0.8883176792757286,0.7662300818392456,0.056696606732540504,0.5148634910583496,0.18843773840806985,0.3961176570314487
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user11,user11,100,15,31276,100,11897,0.0,,0.15153510100003587,0.48279399284241065,0.1570940613746643,0.772715810708582,0.7762223476857922,0.855520366638019,0.8045185296259985,0.885855227615051,0.07992142793412686,0.5153607130050659,0.1878624863410944,0.3927040430360595
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user11,user11,200,15,31276,200,11797,0.003404917561440604,,0.24975154699995983,0.4772344843262862,0.15484151244163513,0.7768076629651607,0.7785505262140864,0.8574593083249339,0.8062621708290546,0.8879554875841831,0.07224031150053038,0.5136059522628784,0.1861490209375265,0.3963719589726202
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user12,user12,100,15,31276,100,11897,0.0,,0.11038484499999868,0.5591166394374503,0.1885388195514679,0.7128687904513743,0.728059350688188,0.8163392423062092,0.7688573625889853,0.8459881334579431,0.125434435660412,0.516358494758606,0.1896276372194671,0.39077078255022274
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_reduced_fasttext_simplex_g12_d12_t010_rp100,fixed_global_sequence,loou_user12,user12,200,15,31276,200,11797,0.0007667038590760907,,0.2198352780001187,0.555650372705195,0.18709470331668854,0.715944731711452,0.7313876338140912,0.8196593724719197,0.7718036809970329,0.8494271585327664,0.12578127521197655,0.5159626007080078,0.18894634229041282,0.39213359328642877
