dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user0,user0,100,15,31276,100,11897,0.0,,0.44625714599987987,0.6287141317180593,0.1601337805217539,0.7838950996049424,0.7275805261324138,0.8235277357447179,0.5794394117496008,0.9348409942949862,0.12744431651409058,0.4112353257608723,0.07228713120954862,0.5166848785408086
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user0,user0,200,15,31276,200,11797,-0.03794604821625441,,0.8956026579999161,0.6594956007038988,0.16906855150618427,0.7605323387301857,0.7447836923809412,0.8268266154508782,0.5824207505993739,0.9363345264184754,0.15961392114952552,0.42684008126042144,0.13740781554632533,0.5431889463422904
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user0,user0,1000,15,31276,1000,10997,0.019510190249627638,,1.3436716199998955,0.6328895497151918,0.15771203959015773,0.7770300991179413,0.7500762665512777,0.8411233256118578,0.5987903542474923,0.9420751531600691,0.138355160419717,0.4032120463179101,0.14531235791579522,0.5406929162498864
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user1,user1,100,15,31276,100,11897,0.0,,0.4569416159999946,0.4374017696413789,0.1391266142924381,0.8079347734723039,0.8096309804520292,0.9015236051502147,0.9011273425259915,0.8970625663971246,0.0937156716485141,0.48469098577399383,0.17844834832310666,0.41976968983777424
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user1,user1,200,15,31276,200,11797,-0.0007851655938004234,,0.9203844669998489,0.42591620588481854,0.13403138988701416,0.811138425023311,0.8127828563016091,0.904108716192242,0.9033360225034736,0.9003103611888844,0.08039325398443417,0.4850715484596488,0.17673984911418159,0.409765194540985
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user1,user1,1000,15,31276,1000,10997,0.026238658193755544,,1.4039896899998894,0.39664216192687957,0.12127843326869497,0.8436846412657998,0.8441720134034012,0.9179163079368384,0.9160724180350746,0.9133147045637939,0.0797937078372466,0.4719733446686756,0.1454032918068564,0.4400290988451396
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user10,user10,100,15,31276,100,11897,0.0,,0.4688747749999038,0.4646608583814904,0.1490941716317518,0.7858283600907792,0.7933814281634473,0.8728661624722374,0.9067290982549228,0.8194618705408372,0.0681722147280729,0.48476807645627434,0.18248297890224427,0.4121207026981592
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user10,user10,200,15,31276,200,11797,0.005145623163637411,,0.9239240919998792,0.4689090794178279,0.15088388393349147,0.7836738153767907,0.793723291537047,0.8748726816402621,0.9084687126960905,0.8221537882158276,0.08259283445133472,0.482273642613069,0.1689412562515894,0.4156141391879291
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user10,user10,1000,15,31276,1000,10997,0.035016966305534684,,1.4225412589998996,0.4371320134630203,0.13694721411341407,0.8187687551150313,0.8222793941134352,0.8895259855944846,0.9198802330326787,0.837183304441972,0.06911918935436803,0.4677929690570061,0.14203873783759208,0.450759297990361
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_cosine_g8_t010_rp100,fixed_global_sequence,loou_user11,user11,100,15,31276,100,11897,0.0,,0.4669706069998938,0.43343253403231785,0.1316800457868557,0.8173489114902917,0.8177581760473662,0.8984440729639966,0.849544556002906,0.9266831543271152,0.07511369233635479,0.4762066538422414,0.20853996805917457,0.41102799024964276
