estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w60_40,100,0.7871306964080373,0.8156730688408842,0.44588330357519484,0.13201213741792933,0.8829332422592335,0.4231384036875738
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w70_30,100,0.7865209934984253,0.816440068924939,0.44517975621013417,0.13192125157426365,0.8829336846868635,0.41990936399994894
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w80_20,100,0.7859572792472854,0.8166817264856686,0.44455105267710554,0.13183961731949667,0.8829335883079453,0.41979547687506624
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w90_10,100,0.7856802233659362,0.8167237538875347,0.44398756507921644,0.13176723591018988,0.8829335426517008,0.4209898748125056
grouped_residual_irt_pca_quantile_g16_t025_rp100,100,0.7852130987876533,0.8171755484575943,0.44348573655199747,0.1317041058186118,0.8829350316216172,0.41584005299995397
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w70_30,200,0.7910945421014478,0.8187833771297788,0.4397636184464986,0.12940550249940067,0.8856472787950749,0.8406577397500143
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w60_40,200,0.7910487335244676,0.8185396711028228,0.44051708326728967,0.12951322475911728,0.8856476078452068,0.8458472363125793
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w80_20,200,0.7906922228427878,0.8192495973552598,0.4390909591789818,0.12930958586235308,0.885649154560713,0.8411803228125336
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w90_10,200,0.790208455077236,0.8198270746800034,0.43848929735438685,0.129225476418706,0.8856502256789694,0.8409023875625223
grouped_residual_irt_pca_quantile_g16_t025_rp100,200,0.7898629503721438,0.8206005764177333,0.4379547837426734,0.12915317228727682,0.8856560054300932,0.8330961286250158
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w60_40,1000,0.7951943437624465,0.8402518868782395,0.4104784587981296,0.11847251958202988,0.8983580310553193,1.2720489340625818
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w70_30,1000,0.7907023724314285,0.8400302355187779,0.40990510809652103,0.1184722493039465,0.8983820193948565,1.261486354500022
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w80_20,1000,0.7875141027153891,0.8400416022551604,0.40943099079213646,0.11849171930117587,0.8983923765724727,1.2613934514374705
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w90_10,1000,0.7852315485124934,0.8398654178412295,0.40904574786985914,0.11853093114965299,0.8983780730835091,1.2624623666875152
grouped_residual_irt_pca_quantile_g16_t025_rp100,1000,0.7847357338463941,0.8401325361462217,0.40874508904043466,0.11858988294762582,0.8983679789127681,1.2525246469999445
