dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8,model
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user0,user0,100,15,31276,100,11897,0.0,,0.47294801300085965,0.5984146469289285,0.19158796966075897,0.7252248465999832,0.745206565544335,0.8246494207668006,0.5815174689686736,0.934886105702895,0.17458521425185447,0.3571869432926178,0.12263595864503657,0.6646213331091871,neural_memory_mirt_ft_kernel_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user0,user0,1000,15,31276,1000,10997,0.04792450358587942,,1.1045275050018972,0.5261337188137596,0.16983111202716827,0.7579339819950895,0.7585549371263657,0.8432360412836813,0.6139560477027527,0.9427382831925473,0.14119777702302555,0.3400689363479614,0.13858324997726654,0.6625443302718923,neural_memory_mirt_ft_kernel_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user1,user1,100,15,31276,100,11897,0.0,,0.5105266430000484,0.39628140256930877,0.12553970515727997,0.8214675968731613,0.8216070953988476,0.9023842219545709,0.9007325520360359,0.9003613062455642,0.012466640904830116,0.3797118365764618,0.1020425317306884,0.628561822308145,neural_memory_mirt_ft_kernel_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user1,user1,1000,15,31276,1000,10997,0.04816712012347525,,1.1629550049983663,0.36581854537866126,0.11252642422914505,0.8468673274529417,0.8466830858839456,0.9191047388201848,0.9153173143197703,0.9165156712188336,0.028015469613766976,0.36142221093177795,0.1274893152678003,0.6762753478221333,neural_memory_mirt_ft_kernel_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user10,user10,100,15,31276,100,11897,0.0,,0.5212563300010515,0.4982272699107721,0.15980447828769684,0.777675044128772,0.7903145535730796,0.8759050947470501,0.9099648896652405,0.8246269245037894,0.11510745132782084,0.3753718435764313,0.1055728334874338,0.6352862066067075,neural_memory_mirt_ft_kernel_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user10,user10,1000,15,31276,1000,10997,0.05042885138362936,,1.199116995001532,0.4836143133811946,0.15191368758678436,0.7973083568245886,0.8130739130251053,0.8934171297526889,0.9232879512413686,0.8429434697745867,0.1263175785356574,0.35644227266311646,0.08611439483495499,0.6950986632718014,neural_memory_mirt_ft_kernel_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user11,user11,100,15,31276,100,11897,0.0,,0.51515957599986,0.4043245365570437,0.1278274655342102,0.8121375136589056,0.8158919531934636,0.8996370505107038,0.8525278046388939,0.9275672976871687,0.05085575250872566,0.3775486648082733,0.1184332184584349,0.6107422039169539,neural_memory_mirt_ft_kernel_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user11,user11,1000,15,31276,1000,10997,0.04730498986022815,,1.1914214700009325,0.371434974798537,0.11555469781160355,0.8330453760116395,0.8305406265510376,0.9134056604044989,0.8699790826991987,0.9365300576420659,0.024761177919214946,0.35968872904777527,0.11175775211421296,0.6700918432299718,neural_memory_mirt_ft_kernel_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user12,user12,100,15,31276,100,11897,0.0,,0.5094933340005809,0.5286380539862798,0.16791947185993195,0.7614524670084896,0.7637920313188739,0.8449532009769255,0.7912194661252743,0.8758738816095482,0.09474351065138002,0.3700769543647766,0.11809699924350676,0.6683197444733967,neural_memory_mirt_ft_kernel_user_discriminative_l2
responses_static,neural_split_eval_user_discriminative,fasttext,fasttext_kernel_logistic,uniform_random,s_user12,user12,1000,15,31276,1000,10997,0.04646005120745979,,1.2488878129988734,0.48843013999310014,0.15197224915027618,0.7909429844503046,0.7965475560375149,0.8663282264827957,0.820761547461318,0.8910159793217185,0.07706874399541226,0.35288316011428833,0.09502591615895244,0.6535418750568337,neural_memory_mirt_ft_kernel_user_discriminative_l2
