estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds,source,source_path
grouped_residual_irt_pca_quantile_g8_t030_rp100_twopl_hybrid_w60_40,1000,0.7942944714538867,0.8404564881331272,0.4102326642461861,0.1183908858387594,0.898593895674653,1.2697653276875087,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t030_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w55_45_bp030,1000,0.7941925204585343,0.8395926161680458,0.4108564206365238,0.1184970635115002,0.8983347865226703,0.4409831672500104,grouped_residual_irt_q1000_bias_pca_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40_bm030,1000,0.7939560977183229,0.8398313176320815,0.4105487609213717,0.1185078659014587,0.8983585774556774,0.4689757753126287,grouped_residual_irt_q1000_bias_pca_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40_bp030,1000,0.7937522039757825,0.8395755660634718,0.4105269296594254,0.1184878987379946,0.8983586329134537,0.4921380393125218,grouped_residual_irt_q1000_bias_pca_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w65_35_bp030,1000,0.7935565257307939,0.8399222515231427,0.4102223016581054,0.1184836486273604,0.8983667741748029,0.4351466871250977,grouped_residual_irt_q1000_bias_pca_g16,
grouped_residual_irt_pca_quantile_g8_t025_rp100_twopl_hybrid_w60_40,1000,0.7935484047909109,0.8398597344730381,0.4102811868200535,0.118407991824258,0.8985480222256403,1.2613215893124448,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t025_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t025_rp200_twopl_hybrid_w60_40,1000,0.7935484047909109,0.8398597344730381,0.4102808559464554,0.1184078959475272,0.8985480696114001,1.2575699248750425,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t025_rp200/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w60_40_bm030,1000,0.7935106660974798,0.839666499954533,0.4115609235661149,0.1188353246619964,0.8993938652098299,0.4553657423747381,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w65_35_bm030,1000,0.7934531652953393,0.8401041193052651,0.4106233179322325,0.1185913036307039,0.8988382988766371,0.4612816739373784,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w55_45_bm060,1000,0.793189145425214,0.8394505319632627,0.4110563320320021,0.1185982253431979,0.8983342317517166,0.4837444603750782,grouped_residual_irt_q1000_bias_pca_g16,
