run,q,accuracy,balanced_accuracy,nll,brier,auroc
observed_vote_t10_user_discriminative,100,0.805560225266874,0.783176677696325,0.5127754436596504,0.1397564839571714,0.8821111835661429
observed_vote_t10_difficulty,100,0.7966661763469782,0.7484114973216102,0.5342035278498605,0.1453649061731994,0.8744009348956627
observed_vote_t10_prior_uncertain,100,0.7938135664453224,0.7433940104891885,0.541075840293008,0.14655156759545204,0.8763887115214315
observed_vote_t10_user_discriminative,1000,0.828419114303901,0.7978610394806741,0.4815316186973502,0.12583390949293966,0.8978696162816555
observed_vote_t10_difficulty,1000,0.8036737291988725,0.7574775251179906,0.5221118469550978,0.13914717594161627,0.886204862999795
observed_vote_t10_prior_uncertain,1000,0.8016618168591434,0.755122776880855,0.5251582557503031,0.13997366838157171,0.8861908837673393
