estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds
twopl_irt_online_baseline,1000,0.8007543575905136,0.8392288806038011,0.41687683194721975,0.11888870457187295,0.8966877806169006,0.6283396160627035
grouped_residual_irt_kmeans_cosine_g64_t010_rp100_twopl_hybrid_w50_50_bm060,1000,0.7975318634106716,0.839893834682186,0.411507125002109,0.11859920135689613,0.8995834218661002,0.4761807675001819
grouped_residual_irt_kmeans_cosine_g64_t010_rp100_twopl_hybrid_w55_45_bm060,1000,0.7971574765969351,0.83991088478676,0.4111410194676168,0.1185770774678693,0.8995834218661002,0.47501493312483944
grouped_residual_irt_kmeans_cosine_g64_t010_rp100_twopl_hybrid_w60_40_bm060,1000,0.79686712846299,0.8400245521505865,0.41079946669700224,0.11855762568343665,0.899583429302552,0.4661560854376603
grouped_residual_irt_kmeans_cosine_g64_t010_rp100_twopl_hybrid_w65_35_bm060,1000,0.7960997278390848,0.8400700190961171,0.41047802024606356,0.11854084825702489,0.8995835485148176,0.4362010213751546
grouped_residual_irt_kmeans_cosine_g64_t010_rp100_twopl_hybrid_w50_50_bm030,1000,0.7954732498464409,0.8399847685732472,0.4113387261409712,0.1185230002715911,0.8995834218661002,0.4582134445001884
grouped_residual_irt_kmeans_cosine_g64_t010_rp100_twopl_hybrid_w55_45_bm030,1000,0.7946883621889428,0.840206419932709,0.4109694623629423,0.11849955392141853,0.8995834218661002,0.46270471893785725
grouped_residual_irt_kmeans_cosine_g64_t010_rp100_twopl_hybrid_w60_40_bm030,1000,0.7933933069989821,0.8399677184686732,0.41062475545336624,0.11847876811817527,0.899583429302552,0.4375730186874307
grouped_residual_irt_kmeans_cosine_g64_t010_rp100_twopl_hybrid_w65_35_bm030,1000,0.7928275117042936,0.8399734018368646,0.41030015691430644,0.11846064487946628,0.8995835485148176,0.4586616288127061
grouped_residual_irt_kmeans_cosine_g64_t010_rp100_twopl_hybrid_w50_50,1000,0.7920159900454363,0.8396096662726198,0.4112898319827687,0.11849759550156377,0.8995834218661002,0.4624286606874648
