estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds,source_path
grouped_residual_irt_anchor_cosine_g64_t010_rp100,100,0.7860101325202408,0.8172070690089939,0.4442049926590773,0.1319867572728821,0.8839408345859723,0.496027289374922,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t015_rp200,100,0.785982370787701,0.8171492813314281,0.444214146463042,0.1319915898037407,0.8840590133289289,0.4666755401874809,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t015_rp300,100,0.7859758630825782,0.8171440279061948,0.4442063721095508,0.1319884177750727,0.8841229958869764,0.4637557833749781,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t015_rp100,100,0.7859728213976669,0.8171387744809616,0.444223543883752,0.1319956265789205,0.8839866768127624,0.4589349451249234,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t035_rp100,100,0.7859629470451452,0.8174644868454233,0.4431947759967696,0.131618650087942,0.8829977911504148,0.4493755260625391,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t035_rp200,100,0.7859629470451452,0.8174644868454233,0.4431944910885212,0.1316185502768564,0.8829978520714801,0.4593051846875369,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t005_rp100,100,0.7859089150350304,0.8173068840884257,0.4441507354363398,0.131962943248369,0.8836669433550295,0.4455426347500975,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t005_rp200,100,0.7858958444991074,0.8172963772379591,0.4441467598586848,0.1319615433284363,0.8836904107948449,0.467481680437487,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t005_rp300,100,0.785887998654267,0.8172911238127258,0.4441440149938287,0.1319605978439395,0.8837035296752653,0.4751121219999561,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t030_rp100,100,0.7858241337497551,0.8171860553080609,0.4431610780943678,0.1316052715124516,0.8829592949986814,0.4412017444999776,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t030_rp200,100,0.7858241337497551,0.8171860553080609,0.4431607862965624,0.1316051700263327,0.8829593611463483,0.4403092061874361,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t030_rp100,100,0.7858241337497551,0.8171860553080609,0.4431610780943678,0.1316052715124516,0.8829592949986814,0.4182534136874949,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t030_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t035_rp100,100,0.7856906097251143,0.8171808018828276,0.4435725118603846,0.1317382114971846,0.8830081869272606,0.4897649141250042,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t035_rp200,100,0.7856906097251143,0.8171808018828276,0.4435723677533525,0.131738170056625,0.8830087496745525,0.5120642165624929,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t030_rp100,100,0.7855982578053133,0.8171282676304951,0.4435269921030845,0.1317200235175894,0.8829821849298729,0.4561178478750207,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t030_rp100,100,0.7855982578053133,0.8171282676304951,0.4435269921030845,0.1317200235175894,0.8829821849298729,0.414675995500005,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t030_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t030_rp200,100,0.7855911149481705,0.8171230142052618,0.4435268212621654,0.1317199699200741,0.8829823333842551,0.4847212624375174,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t025_rp100,100,0.7852130987876533,0.8171755484575943,0.4434857365519974,0.1317041058186118,0.8829350316216172,0.4525939460000359,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t025_rp100,100,0.7852130987876533,0.8171755484575943,0.4434857365519974,0.1317041058186118,0.8829350316216172,0.4158400529999539,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t025_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t025_rp200,100,0.7852091500891444,0.817170295032361,0.4434855292490994,0.1317040368503616,0.8829357827845195,0.4520492936875087,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t025_rp200,100,0.7852091500891444,0.817170295032361,0.4434855292490994,0.1317040368503616,0.8829357827845195,0.4137862448125133,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t025_rp200/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t020_rp200,100,0.7851242570993383,0.8172280827099269,0.4434684424787866,0.131697941538557,0.8829452346539755,0.4542736968124927,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca/grouped_residual_irt_summary.csv
