estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds,source_run
grouped_residual_irt_pca_quantile_g8_t025_rp100_twopl_hybrid_w60_40,200,0.7922371120849041,0.8198588624226498,0.4398533260592733,0.1292739194050022,0.8859573663894705,0.8403367185624973,pca_twopl_g8_t025
grouped_residual_irt_pca_quantile_g8_t030_rp100_twopl_hybrid_w60_40,200,0.7922301921001211,0.8198164787657879,0.4398693241346424,0.1292818798384437,0.885995855216412,0.8457187866875415,pca_twopl_g8_t030
grouped_residual_irt_pca_quantile_g8_t025_rp100_twopl_hybrid_w70_30,200,0.7922090269469031,0.8199118419937272,0.4390098843641427,0.1291323051769841,0.8859650337929795,0.8440952702499658,pca_twopl_g8_t025
grouped_residual_irt_pca_quantile_g8_t030_rp100_twopl_hybrid_w70_30,200,0.7922056627573482,0.8199065440366194,0.4390248151376146,0.1291396840101417,0.8859990430666301,0.845678710250013,pca_twopl_g8_t030
grouped_residual_irt_pca_quantile_g8_t025_rp100_twopl_hybrid_w90_10,200,0.7917494193997825,0.8216336780537424,0.4375688881683123,0.1288896313408565,0.8860493356270428,0.859140150750008,pca_twopl_g8_t025
grouped_residual_irt_pca_quantile_g8_t030_rp100_twopl_hybrid_w90_10,200,0.79173060386673,0.821601890311096,0.4375787111207972,0.1288942112545407,0.8860788409605169,0.8431299748749836,pca_twopl_g8_t030
grouped_residual_irt_pca_quantile_g8_t025_rp100_twopl_hybrid_w80_20,200,0.7916066234787107,0.8206853437314572,0.4382517444314433,0.1290042086144996,0.8859956327124421,0.8586105658750114,pca_twopl_g8_t025
grouped_residual_irt_pca_quantile_g8_t030_rp100_twopl_hybrid_w80_20,200,0.7915632678261222,0.8205422988895482,0.4382646115884074,0.1290104606076944,0.8860258337196112,0.8471358330625378,pca_twopl_g8_t030
grouped_residual_irt_pca_quantile_g8_t025_rp200,200,0.7912771384028333,0.8221210901076544,0.4369566661099494,0.1287883767323087,0.886077938391015,0.8891553676249941,pca_focus
grouped_residual_irt_pca_quantile_g8_t025_rp100,200,0.7912739799229466,0.8221157921505468,0.436957235096703,0.1287885714200292,0.8860774732134709,0.9040934257499772,pca_focus
grouped_residual_irt_pca_quantile_g8_t025_rp100,200,0.7912739799229466,0.8221157921505468,0.436957235096703,0.1287885714200292,0.8860774732134709,0.8499712606249545,pca_twopl_g8_t025
grouped_residual_irt_pca_quantile_g16_t030_rp100_twopl_hybrid_w80_20,200,0.7912178683155491,0.8191913198270747,0.4391108767424302,0.1293138098865745,0.8856782940244688,0.8370161302500208,pca_twopl_g16_t030
grouped_residual_irt_pca_quantile_g8_t035_rp100,200,0.7910964191448896,0.8220628125794693,0.4369856639919734,0.1288003687462244,0.8861653340305213,0.8984319506250529,pca_focus
grouped_residual_irt_pca_quantile_g8_t035_rp200,200,0.7910964191448896,0.8220628125794693,0.4369850905738762,0.1288001690648023,0.8861654140306003,0.9131141117499908,pca_focus
grouped_residual_irt_pca_quantile_g8_t030_rp100,200,0.7910960576206508,0.8220840044079003,0.4369630424241373,0.1287909340142413,0.8861107147595394,0.88310220943751,pca_focus
grouped_residual_irt_pca_quantile_g8_t030_rp200,200,0.7910960576206508,0.8220840044079003,0.4369624662620257,0.1287907349055271,0.8861108221988769,0.8798457600624943,pca_focus
grouped_residual_irt_pca_quantile_g8_t030_rp100,200,0.7910960576206508,0.8220840044079003,0.4369630424241373,0.1287909340142413,0.8861107147595394,0.8360356233124833,pca_twopl_g8_t030
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w70_30,200,0.7910945421014478,0.8187833771297788,0.4397636184464986,0.1294055024994006,0.8856472787950749,0.8406577397500143,pca_twopl_g16_t025
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w60_40,200,0.7910487335244676,0.8185396711028228,0.4405170832672896,0.1295132247591172,0.8856476078452068,0.8458472363125793,pca_twopl_g16_t025
grouped_residual_irt_pca_quantile_g16_t030_rp100_twopl_hybrid_w70_30,200,0.7910439440764431,0.8186986098160549,0.4397839007138321,0.129410360215688,0.885676973126947,0.839487397250025,pca_twopl_g16_t030
grouped_residual_irt_pca_quantile_g16_t030_rp100_twopl_hybrid_w60_40,200,0.7909111194481921,0.8183436466898364,0.4405370164954298,0.1295183842543893,0.8856773907997032,0.8427874490000136,pca_twopl_g16_t030
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w80_20,200,0.7906922228427878,0.8192495973552598,0.4390909591789818,0.129309585862353,0.885649154560713,0.8411803228125336,pca_twopl_g16_t025
grouped_residual_irt_anchor_cosine_g16_t005_rp200,200,0.7905893296240147,0.8193608544545223,0.4379984061239901,0.1291136183199654,0.886791242757282,0.8981939546250146,anchor_focus
grouped_residual_irt_anchor_cosine_g16_t005_rp300,200,0.7905893296240147,0.8193608544545223,0.4379979706848675,0.1291134396835685,0.8867915027620075,0.9105625416249836,anchor_focus
grouped_residual_irt_anchor_cosine_g16_t005_rp100,200,0.7905718193243966,0.8193396626260914,0.4380002281375562,0.1291143625104057,0.8867901056741216,0.8776840858125183,anchor_focus
grouped_residual_irt_pca_quantile_g16_t030_rp100_twopl_hybrid_w90_10,200,0.7903343465561044,0.8199330338221582,0.4385081581180571,0.1292287348385299,0.8856783474498848,0.8361852653125652,pca_twopl_g16_t030
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w90_10,200,0.790208455077236,0.8198270746800034,0.4384892973543868,0.129225476418706,0.8856502256789694,0.8409023875625223,pca_twopl_g16_t025
