estimator,q,runtime_seconds,accuracy,balanced_accuracy
neural_n2c_svd_ftkernel_hybrid_w20_55_25,100,0.9019957172499744,0.7590148777002605,0.7833749114545505
neural_n2c_svd_ftkernel_hybrid_w20_55_25,1000,2.0761550493750747,0.7896358097662999,0.7901977144054996
neural_n2c_svd_ftkernel_hybrid_w20_55_25,2000,3.512922311999546,0.8048539561868561,0.810477457401141
refined_q1000_raw_w290_500_130_080_bias_p015,100,0.8837368844999673,0.7919538539127511,0.7802151409215015
refined_q1000_raw_w290_500_130_080_bias_p015,1000,1.7748438963751596,0.8065722469764481,0.7534685785942219
refined_q1000_raw_w290_500_130_080_bias_p015,2000,2.6796579226245285,0.81055566670001,0.7640620073185661
