estimator,q,balanced_accuracy,accuracy,nll,brier,auroc
online_threshold_prior_min20_blend50_t1,50,0.7855271997872351,0.7348288273206662,0.5418265790428155,0.18128711264580488,0.8812568360919868
online_threshold_prior_min50_blend50_t1,50,0.7855271997872351,0.7348288273206662,0.5418265790428155,0.18128711264580488,0.8812568360919868
online_threshold_prior_min100_blend100_t1,50,0.7855271997872351,0.7348288273206662,0.5419006960770962,0.18126468639820814,0.8812568360919868
online_threshold_prior_min100_blend75_t1,50,0.7855271997872351,0.7348288273206662,0.5419006960770962,0.18126468639820814,0.8812568360919868
online_threshold_prior_min20_blend75_t1,50,0.7855271997872351,0.7348288273206662,0.5420226681729767,0.18139202147722244,0.8812568360919868
online_threshold_prior_min50_blend75_t1,50,0.7855271997872351,0.7348288273206662,0.5420226681729767,0.18139202147722244,0.8812568360919868
online_threshold_prior_min50_blend75_t08,50,0.7855271997872351,0.7348288273206662,0.5499849441652418,0.18292061239480972,0.8812568360919868
online_threshold_prior_min20_blend100_t1,50,0.7727691003234827,0.7276146731397003,0.5423744993286671,0.18155937176197767,0.8812568360919868
online_threshold_prior_min50_blend100_t1,50,0.7727691003234827,0.7276146731397003,0.5423744993286671,0.18155937176197767,0.8812568360919868
online_threshold_prior_min20_blend50_t1,100,0.7881972263915809,0.7379171219635202,0.5409340159903473,0.18087030109018087,0.8817223287807846
online_threshold_prior_min50_blend50_t1,100,0.7881972263915809,0.7379171219635202,0.5409340159903473,0.18087030109018087,0.8817223287807846
online_threshold_prior_min100_blend75_t1,100,0.7881972263915809,0.7379171219635202,0.5411286616639623,0.1809746604412794,0.8817223287807846
online_threshold_prior_min20_blend75_t1,100,0.7881972263915809,0.7379171219635202,0.5411286616639623,0.1809746604412794,0.8817223287807846
online_threshold_prior_min50_blend75_t1,100,0.7881972263915809,0.7379171219635202,0.5411286616639623,0.1809746604412794,0.8817223287807846
online_threshold_prior_min50_blend75_t08,100,0.7881972263915809,0.7379171219635202,0.5490561498601287,0.18247595243155956,0.8817223287807846
online_threshold_prior_min100_blend100_t1,100,0.7737393206001366,0.7285712784735647,0.541478792754134,0.1811413299292326,0.8817223287807846
online_threshold_prior_min20_blend100_t1,100,0.7737393206001366,0.7285712784735647,0.541478792754134,0.1811413299292326,0.8817223287807846
online_threshold_prior_min50_blend100_t1,100,0.7737393206001366,0.7285712784735647,0.541478792754134,0.1811413299292326,0.8817223287807846
online_threshold_prior_min20_blend50_t1,200,0.7936432434378162,0.7441722471814868,0.5391261918337247,0.18002606555819511,0.8826439155737027
online_threshold_prior_min50_blend50_t1,200,0.7936432434378162,0.7441722471814868,0.5391261918337247,0.18002606555819511,0.8826439155737027
online_threshold_prior_min100_blend75_t1,200,0.7936432434378162,0.7441722471814868,0.5393179138868671,0.18012932315468788,0.8826439155737027
online_threshold_prior_min20_blend75_t1,200,0.7936432434378162,0.7441722471814868,0.5393179138868671,0.18012932315468788,0.8826439155737027
online_threshold_prior_min50_blend75_t1,200,0.7936432434378162,0.7441722471814868,0.5393179138868671,0.18012932315468788,0.8826439155737027
online_threshold_prior_min50_blend75_t08,200,0.7936432434378162,0.7441722471814868,0.5471749418304287,0.18157532531768084,0.8826439155737027
online_threshold_prior_min100_blend100_t1,200,0.7757209394847657,0.7305088158006273,0.5396646016130056,0.18029460962861776,0.8826439155737027
online_threshold_prior_min20_blend100_t1,200,0.7757209394847657,0.7305088158006273,0.5396646016130056,0.18029460962861776,0.8826439155737027
online_threshold_prior_min50_blend100_t1,200,0.7757209394847657,0.7305088158006273,0.5396646016130056,0.18029460962861776,0.8826439155737027
