dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user0,user0,50,15,18451,50,11947,0.0,,0.11176961400087748,0.9323479657405206,0.16836243867874146,0.7800284590273708,0.7206461349938789,0.8120711991772218,0.5578384246937631,0.9266297189215287,0.13012634880607774,0.3041345477104187,0.11258056415836612,0.6144638821461454
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user0,user0,100,15,18451,100,11897,0.03405643199423972,,0.2250378950011509,0.9130007516921455,0.1605573147535324,0.7900311002773809,0.7160764021846313,0.8121806480000701,0.5605066688633977,0.926414604129145,0.1048455735991219,0.29377681016921997,0.09775573674035472,0.6419265361015382
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user0,user0,200,15,18451,200,11797,0.0708330826407522,,0.3332488070009276,0.9070539889239294,0.1579573154449463,0.7915571755531067,0.714560015688514,0.8113403169801573,0.5609683594296037,0.925562866188655,0.10293529666278148,0.2825917601585388,0.07510383995931169,0.649402390438247
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user1,user1,50,15,18451,50,11947,0.0,,0.11059152899906621,0.7081354986984055,0.18073730170726776,0.6825981417929188,0.6883823145959677,0.8906188966178537,0.8873041694258593,0.8808317578647435,0.17317024263873454,0.41653162240982056,0.2408135933707207,0.4117351636394074
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user1,user1,100,15,18451,100,11897,0.3071312938406103,,0.2145552410001983,0.8392960420384759,0.16665132343769073,0.770362276204085,0.7669929301796929,0.8991490203895257,0.8916340242169442,0.8883141460883138,0.10116711520852809,0.28860172629356384,0.0,0.48650920400100867
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user1,user1,200,15,18451,200,11797,0.28479591645451263,,0.3172871759998088,0.9324710479826858,0.16961920261383057,0.7679918623378825,0.7643577315504702,0.8930399935455232,0.8898829995282056,0.8887719350700797,0.16380943075381252,0.2979051172733307,0.10782402305670934,0.6363482241247775
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user10,user10,50,15,18451,50,11947,0.0,50.0,0.10572316299840168,1.040933492663508,0.18894673883914948,0.773081108228007,0.7744996935165275,0.860185027104032,0.893564341711502,0.7926004157788622,0.14150549842619783,0.2389679104089737,0.0,0.9107725788900979
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user10,user10,100,15,18451,100,11897,-0.5170421400940894,50.0,0.2092397329997766,1.0356847226020665,0.23446038365364075,0.6447843994284274,0.6942471374216724,0.8548857273825259,0.8891656906361857,0.7902226255457943,0.2507674507433535,0.3625243902206421,0.1525594687736404,0.5672858703874927
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user10,user10,200,15,18451,200,11797,-0.26250648116075054,50.0,0.31260061399916594,1.5093176643852433,0.21566398441791534,0.7831652114944477,0.7878148595978571,0.8655270765955386,0.8945819084956549,0.802375080878909,0.2252367811139217,0.3016985356807709,0.2848181741120624,0.6149868610663728
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user11,user11,50,15,18451,50,11947,0.0,,0.13032136900073965,0.6840155673310125,0.14670121669769287,0.7911609609106889,0.7581562959243495,0.8812483185718178,0.8307737323019133,0.9118145429817714,0.08469961037822461,0.3249761760234833,0.15091654808738594,0.6157194274713317
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user11,user11,100,15,18451,100,11897,0.027030303663909336,,0.23663859499902173,0.7004500284745565,0.1540948450565338,0.7931411280154661,0.7578249784764335,0.8783513869490088,0.8277443625314981,0.9100044700248426,0.11039788160474812,0.31619197130203247,0.12053458855173574,0.595948558460116
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user11,user11,200,15,18451,200,11797,0.04527983268391605,,0.3419878040003823,0.7125824116704433,0.15993598103523254,0.7634144273967958,0.7170712463428738,0.875895613289962,0.8235652008642901,0.9087481152506357,0.125185483984581,0.3102613091468811,0.1218953971348648,0.6204967364584216
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user12,user12,50,15,18451,50,11947,0.0,,0.10265389899905131,0.9460688875441917,0.18458588421344757,0.7490583410061104,0.7098747987352649,0.8340228127841691,0.7739318171314702,0.8643216183570085,0.14082777746395306,0.29406628012657166,0.1155938729388131,0.631204486481962
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user12,user12,100,15,18451,100,11897,0.012369432668367718,,0.20678171899999143,0.9572109114048221,0.18916742503643036,0.7290073127679247,0.6817897388884387,0.8324686853400316,0.7734362981929707,0.8634168628598609,0.15237791489769356,0.29042884707450867,0.11406236866436917,0.6354543162141716
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user12,user12,200,15,18451,200,11797,0.005446008285813228,,0.3116685889999644,0.94833159975235,0.18775607645511627,0.7295075019072645,0.6848622203733858,0.8335374872131378,0.7753682346045585,0.8637564938971545,0.14840825265713178,0.2924647927284241,0.11553784860557768,0.6265999830465373
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user13,user13,50,15,18451,50,11947,0.0,,0.10438803600118263,0.6766769758683233,0.13316112756729126,0.8130074495689295,0.8312797401214794,0.9005502219518455,0.6238091398276476,0.9738178170020815,0.16132739172706442,0.3169266879558563,0.12295973884657237,0.6165564576881225
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user13,user13,100,15,18451,100,11897,0.038331078835033255,,0.20747905300049752,0.641314887442459,0.12049643695354462,0.8495419013196605,0.8177678095852292,0.8971636989000753,0.6195838373993107,0.9730138940140303,0.12527529452479244,0.3047785460948944,0.09565436664705387,0.6164579305707322
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user13,user13,200,15,18451,200,11797,0.06951593876227809,,0.3122007380006835,0.6262184356202054,0.11536061763763428,0.8497075527676528,0.8173712954913045,0.8962901004613674,0.6191134749534073,0.9726008019287753,0.10703466881126243,0.2948952317237854,0.12443841654657964,0.6525387810460287
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user14,user14,50,15,18451,50,11947,0.0,,0.10596625200014387,0.37334128952124584,0.08977911621332169,0.8734410312212271,0.7294318134600772,0.8997826115128424,0.9768451345010762,0.5962343742532614,0.022743297216183216,0.23999564349651337,0.11032058257303089,0.7520716497865573
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user14,user14,100,15,18451,100,11897,0.00660785361330226,,0.21111120900059177,0.375593923778667,0.08980464935302734,0.8736656299907539,0.7279233418385564,0.8987656714789795,0.9766575957347581,0.5974432201587873,0.01955506437611444,0.23840978741645813,0.06615113053711019,0.7617046314196856
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user14,user14,200,15,18451,200,11797,0.026548763227737027,,0.31492369400075404,0.3745424833464847,0.08987844735383987,0.8729337967279817,0.7297671246699553,0.89956342103618,0.9767870379046397,0.5994890165477934,0.020608132785143417,0.23362405598163605,0.06942442993981521,0.7595151309654997
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user15,user15,50,15,18451,50,11947,0.0,,0.10444779899989953,0.5124388423206241,0.1303560435771942,0.8117519042437432,0.7450575373106398,0.8855912509446975,0.8049231768628526,0.9343424211264602,0.07193707797379786,0.31004828214645386,0.13417594375156944,0.5953795932033147
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user15,user15,100,15,18451,100,11897,-0.010563470311032044,,0.21009546800087264,0.5488435660568224,0.1313665807247162,0.8117172396402454,0.743095994361657,0.8862790457841717,0.8087722658924147,0.9318762722387574,0.07117548420655158,0.3133234679698944,0.10162225771202824,0.6046062032445154
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user15,user15,200,15,18451,200,11797,-0.00702754286204231,,0.3159324349999224,0.5471346950275243,0.13152208924293518,0.8098669153174536,0.7397324471382363,0.8871982468156704,0.81047640560532,0.9321762444642081,0.07361024024792825,0.31222715973854065,0.10146647452742223,0.6006611850470459
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user2,user2,50,15,18451,50,11947,0.0,,0.13502078599958622,0.3623954778376127,0.09982533752918243,0.856198208755336,0.7125074886585193,0.9170608983654491,0.9731491772542702,0.7514237692760963,0.05347870498612946,0.25663912296295166,0.05917803632711141,0.7608604670628609
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user2,user2,100,15,18451,100,11897,0.05668609444711533,,0.2432729609990929,0.3995569935796607,0.10422743111848831,0.8539127511137261,0.7055087466405958,0.9126947470986917,0.9715019098749469,0.7503346471073987,0.06741591431181299,0.24209125339984894,0.04555770362276204,0.7666638648398756
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user2,user2,200,15,18451,200,11797,0.09594147511780922,,0.3545246150006278,0.41295698666979075,0.10883729159832001,0.8492837161990336,0.6907829113178054,0.912299515616434,0.9712615611485748,0.7502326956389996,0.08085081976079743,0.23201678693294525,0.0522166652538781,0.7763838263965415
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user3,user3,50,15,18451,50,11947,0.0,,0.10724394700082485,1.5960593942278185,0.19654123485088348,0.775089980748305,0.773366588835244,0.8675038788165315,0.8809211650736889,0.8437007988503678,0.17180431322841314,0.1869058907032013,0.18749476856114505,0.7236126224156693
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user3,user3,100,15,18451,100,11897,-0.8250567924431729,,0.21732639400033804,0.8138833482014954,0.17324881255626678,0.7717912078675296,0.7685130507010547,0.8571556908991232,0.8734673646067508,0.8355291815446505,0.1107111108259512,0.3411138653755188,0.22383794233840465,0.6119189711692024
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user3,user3,200,15,18451,200,11797,-0.07777004972159067,,0.324882360000629,1.5250804164490512,0.25350266695022583,0.6711875900652708,0.6343412720357922,0.8884847494785075,0.898341011238323,0.8622073253194567,0.2868592418955294,0.20144157111644745,0.08807323895905739,0.7113672967703654
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user4,user4,50,15,18451,50,11947,0.0,,0.11539014400113956,1.1291891261145341,0.21060658991336823,0.6884573533104545,0.694536177532278,0.8791221710332557,0.8834153217449214,0.8694048222258921,0.22492288309102673,0.30002421140670776,0.1068887586841885,0.5958818113333891
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user4,user4,100,15,18451,100,11897,0.004099872635153055,,0.22577438200096367,1.1255689436953487,0.21099747717380524,0.6897537194250651,0.6961566050595739,0.8825371992890636,0.8867556075651539,0.872221813896164,0.22717510319743078,0.298794150352478,0.11851727326216693,0.6452046734470875
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user4,user4,200,15,18451,200,11797,0.0064897266771443175,,0.33725474000129907,1.1200066890036142,0.21123658120632172,0.6900059337119606,0.6973200731264371,0.8834900472226968,0.8876585544262168,0.8727825643254294,0.22869552474751542,0.29807713627815247,0.11129948291938628,0.6451640247520556
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user5,user5,50,15,18451,50,11947,0.0,,0.10728249899875664,0.42678626626578653,0.10273142158985138,0.8549426634301498,0.6955221860970019,0.900652427979158,0.9706458583416517,0.676181173190858,0.050931159873614046,0.2385212779045105,0.040847074579392316,0.772997405206328
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user5,user5,100,15,18451,100,11897,-0.035132616625388614,,0.2174616550000792,0.42568609540023356,0.10388370603322983,0.8540808607211903,0.6911947027026089,0.9002415630766348,0.970405319755476,0.6782247901954693,0.05575649474931081,0.24690115451812744,0.03958981255778768,0.7723795914936539
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user5,user5,200,15,18451,200,11797,0.013115038197296515,,0.3280730599999515,0.4248369577031095,0.10440143197774887,0.8542849877087395,0.696045710880444,0.9019169962350864,0.9708039823681928,0.6816199867756253,0.06240552660083402,0.23539306223392487,0.04348563194032381,0.7698567432398067
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user6,user6,50,15,18451,50,11947,0.0,,0.10834153299947502,0.7321326871930808,0.11138223856687546,0.8526826818448145,0.7489477895760133,0.8649184551464524,0.9896943522809545,0.23814546997010935,0.1327818606816558,0.2076198011636734,0.07190089562233197,0.7907424458022935
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user6,user6,100,15,18451,100,11897,-0.04835252727510095,,0.21887612499995157,0.622893778583415,0.10408884286880493,0.8621501218794654,0.7277367501150083,0.8634856748617104,0.9895184558898151,0.23751779209926557,0.12594002978483979,0.21765874326229095,0.07850718668571909,0.7986046902580483
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user6,user6,200,15,18451,200,11797,0.0007139817624598179,200.0,0.32670082099866704,0.6126388380523603,0.10131245851516724,0.8630160210222938,0.72112170442423,0.8649284918520387,0.9896011674285066,0.24055728968375448,0.11780741908239023,0.207471564412117,0.08129185386115113,0.8098669153174536
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user7,user7,50,15,18451,50,11947,0.0,,0.11187171300116461,0.9064121736097357,0.16981123387813568,0.7775173683769984,0.7631879793262396,0.8948896318741705,0.9127613100715003,0.8616232530667589,0.1593677298147469,0.3132239282131195,0.1396166401607098,0.5510169917134009
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user7,user7,100,15,18451,100,11897,0.24127366270629896,,0.21553038000092783,0.9624474301295,0.1568337231874466,0.8067580062200554,0.7978549865749632,0.8962928020302682,0.9133877310948022,0.8642682555859658,0.12587241896568852,0.23765124380588531,0.1194418761032193,0.6115827519542741
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user7,user7,200,15,18451,200,11797,-0.10657065317761065,,0.3233115610000823,1.0383970115395509,0.17916631698608398,0.7985928625921844,0.8077286001783682,0.8884386378013372,0.9034181424301979,0.8579831729982184,0.1663033859506135,0.3466044068336487,0.3321183351699585,0.46147325591252014
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user8,user8,50,15,18451,50,11947,0.0,,0.10585560000072292,0.9697210836110337,0.19676591455936432,0.7379258391227923,0.6601597298548042,0.86930418570795,0.9177500781956854,0.7695871934605097,0.18563283692758334,0.24045658111572266,0.09692809910437766,0.7179208169414916
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user8,user8,100,15,18451,100,11897,0.18719894838916937,,0.21911168599945086,1.1982933433019318,0.21754908561706543,0.7139615028998907,0.6232663837090766,0.8657386580862313,0.915369756214477,0.7663614485070842,0.21661580418227805,0.19544336199760437,0.08472724216188955,0.7418676977389258
responses_static,collaborative_fixed200,hash,user_similarity_knn_k5_s20_p10_t1_b0_r25,uniform_random,loou_user8,user8,200,15,18451,200,11797,0.09222813391132599,,0.33237253299921576,1.1881143645842238,0.21041962504386902,0.7091633466135459,0.6157526972459967,0.8680313058567579,0.9160231927710463,0.7732950698950609,0.21059760173001618,0.21827971935272217,0.0905314910570484,0.7092481139272696
