estimator,q,balanced_accuracy,accuracy,nll,brier,auroc
user_similarity_knn_k8_s30_p10_t08_bn25,50,0.7632835479542263,0.779008328450657,0.9034712715710331,0.16133012110367417,0.8728845295252914
user_similarity_knn_k8_s30_p10_t08_b0,50,0.7486481146018291,0.7798976730559973,0.9000385177390458,0.1611903002485633,0.8728093406418141
user_similarity_knn_k12_s50_p10_t08_b0,50,0.7486481146018291,0.7798976730559973,0.9000385211606591,0.16119029931724072,0.8728077810937435
user_similarity_knn_k5_s20_p10_t1_b0,50,0.7479342413671808,0.7771302419017326,0.8178463448700368,0.16029845783486962,0.872609968205395
user_similarity_knn_k8_s30_p10_t08_bp25,50,0.7448777344573515,0.7787886080187495,0.9023804670649349,0.16286345897242427,0.8726060904344204
user_similarity_knn_k8_s30_p0_t1_b0,50,0.7427999193160035,0.7782759270109652,0.8256375845744225,0.16031722398474813,0.8541239042414212
user_similarity_knn_k5_s20_p0_t1_b0,50,0.739396215860792,0.7737088808906002,0.8660532800888519,0.16267754696309566,0.8509779001173747
user_similarity_knn_k3_s10_p0_t1_b0,50,0.7313541165009215,0.7741064702435758,1.2710242888854673,0.17606328055262566,0.8141384687568454
user_similarity_knn_k5_s20_p10_t1_b0,100,0.7521885367200182,0.7820616541985375,0.8090138158549013,0.16060176398605108,0.8710458124115369
user_similarity_knn_k12_s50_p10_t08_b0,100,0.7518478592031084,0.7819986130957384,0.9085784119256043,0.16386029496788979,0.8711224652839621
user_similarity_knn_k8_s30_p10_t08_b0,100,0.7518478592031084,0.7819986130957384,0.9085784123459983,0.1638602940365672,0.8711213405043474
user_similarity_knn_k8_s30_p10_t08_bn25,100,0.7503107937159903,0.7770393796755485,0.91360921192526,0.1662408742122352,0.8712540088985471
user_similarity_knn_k8_s30_p10_t08_bp25,100,0.736560919921246,0.7790987223669833,0.9091122200736312,0.1631413707509637,0.8708620379274137
user_similarity_knn_k8_s30_p0_t1_b0,100,0.7346602533375629,0.7763354206942927,0.8334212144720301,0.16320597054436803,0.8480923621883317
user_similarity_knn_k5_s20_p0_t1_b0,100,0.7325517656286618,0.7752216945448432,0.858760140294666,0.1634571272879839,0.8453349850408445
user_similarity_knn_k3_s10_p0_t1_b0,100,0.7215907787875145,0.7732884340590065,1.2619760861686475,0.17651674943044782,0.8051728813003202
user_similarity_knn_k12_s50_p10_t08_b0,200,0.7527785747480166,0.7851890311096041,0.9821221247120334,0.16702102543786168,0.8738327682669661
user_similarity_knn_k8_s30_p10_t08_b0,200,0.7527785747480166,0.7851890311096041,0.9821221281496926,0.16702102543786168,0.8738338742514681
user_similarity_knn_k5_s20_p10_t1_b0,200,0.7480163406651591,0.7849453250826481,0.8890526327916031,0.16466793231666088,0.8733053543745252
user_similarity_knn_k8_s30_p10_t08_bn25,200,0.7442430710648725,0.7710752733745867,0.9875130875672952,0.16884689452126622,0.8740068563194735
user_similarity_knn_k8_s30_p10_t08_bp25,200,0.7331315643696704,0.7780579808425871,0.982313490805384,0.1670364891178906,0.873710315617892
user_similarity_knn_k8_s30_p0_t1_b0,200,0.7328301802191324,0.7777030177163685,0.8999115438731977,0.1672091824002564,0.852816943049981
user_similarity_knn_k5_s20_p0_t1_b0,200,0.7264912505500187,0.7755467491735187,0.9496969554986057,0.16780335688963532,0.8466794551188833
user_similarity_knn_k3_s10_p0_t1_b0,200,0.7226382067775692,0.7767546833940833,1.3763224194964676,0.18064541881904006,0.8046466284328675
