query_policy,q,balanced_accuracy,accuracy,nll,brier,auroc
stochastic_topk_uncertainty,50,0.8278136826530411,0.8336995340531793,0.41527376371218344,0.12848463840782642,0.9076817822477864
uncertainty,50,0.8277845719534972,0.8333211266426718,0.41514176771780154,0.1284588952548802,0.9080591365036947
stochastic_topk_uncertainty,100,0.8643907216481558,0.8653652181222157,0.36793501278636515,0.11018765694461763,0.9316872511658891
uncertainty,100,0.8626317052731851,0.8605688408842566,0.37350167701784365,0.11248137825168669,0.9305056727227233
stochastic_topk_uncertainty,200,0.8796181202486307,0.8816665960272386,0.3335493961058235,0.09830729089056452,0.9385806241719546
uncertainty,200,0.8812646664661107,0.8800648469949987,0.33837245239683655,0.10016594699118286,0.9395824464760257
