q,stochastic_topk_uncertainty,uncertainty,delta_light_minus_base
50,0.8278136826530411,0.8277845719534972,2.9110699543921648e-05
100,0.8643907216481558,0.8626317052731851,0.0017590163749706678
200,0.8796181202486307,0.8812646664661107,-0.0016465462174799494
