user,method,accuracy,balanced_accuracy,obs_best_match,best_eval_acc
user0,obs_softmax_t0.01,0.7995817041011185,0.6883399801106849,0.748,0.7995817041011185
user0,obs_softmax_t0.03,0.7995817041011185,0.6883399801106849,0.748,0.7995817041011185
user0,obs_softmax_t0.05,0.7995817041011185,0.6883399801106849,0.748,0.7995817041011185
user0,obs_softmax_t0.1,0.794307538419569,0.7438603400570005,0.748,0.7995817041011185
user0,obs_softmax_t0.2,0.7138310448304083,0.764955727324705,0.748,0.7995817041011185
user0,obs_softmax_t0.5,0.6512685277803038,0.7444643896352545,0.748,0.7995817041011185
user0,obs_softmax_t1.0,0.6498135855233246,0.7448200049777949,0.748,0.7995817041011185
user0,train_majority_prior,0.6245339638083114,0.7334678722696376,0.748,0.7995817041011185
user0,best_train_user_by_observed_1000,0.7995817041011185,0.6883399801106849,0.748,0.7995817041011185
user0,oracle_best_single_train_user_eval,0.7995817041011185,,0.748,0.7995817041011185
user1,obs_softmax_t0.01,0.787032827134673,0.7850075058936599,0.567,0.7960352823497318
user1,obs_softmax_t0.03,0.7914885877966719,0.7895060136800528,0.567,0.7960352823497318
user1,obs_softmax_t0.05,0.8257706647267437,0.8244668082957907,0.567,0.7960352823497318
user1,obs_softmax_t0.1,0.8479585341456761,0.848083196755776,0.567,0.7960352823497318
user1,obs_softmax_t0.2,0.8460489224333909,0.8466757217736021,0.567,0.7960352823497318
user1,obs_softmax_t0.5,0.8347731199418023,0.8358992281589874,0.567,0.7960352823497318
user1,obs_softmax_t1.0,0.8347731199418023,0.8358992281589874,0.567,0.7960352823497318
user1,train_majority_prior,0.8347731199418023,0.8358992281589874,0.567,0.7960352823497318
user1,best_train_user_by_observed_1000,0.787032827134673,0.7850075058936599,0.567,0.7960352823497318
user1,oracle_best_single_train_user_eval,0.7960352823497318,,0.567,0.7960352823497318
user10,obs_softmax_t0.01,0.6199872692552514,0.673916431392735,0.522,0.7957624806765482
user10,obs_softmax_t0.03,0.7790306447212876,0.7995038189768573,0.522,0.7957624806765482
user10,obs_softmax_t0.05,0.8026734563971992,0.8146159272219304,0.522,0.7957624806765482
user10,obs_softmax_t0.1,0.8183140856597254,0.8232993984266543,0.522,0.7957624806765482
user10,obs_softmax_t0.2,0.8240429207965809,0.8250415000684591,0.522,0.7957624806765482
user10,obs_softmax_t0.5,0.8241338546876421,0.8246678174724907,0.522,0.7957624806765482
user10,obs_softmax_t1.0,0.8241338546876421,0.8246678174724907,0.522,0.7957624806765482
user10,train_majority_prior,0.8241338546876421,0.8246678174724907,0.522,0.7957624806765482
user10,best_train_user_by_observed_1000,0.5787942166045285,0.6412480523824626,0.522,0.7957624806765482
user10,oracle_best_single_train_user_eval,0.7957624806765482,,0.522,0.7957624806765482
user11,obs_softmax_t0.01,0.7373829226152587,0.6860013209985324,0.655,0.7933072656178958
user11,obs_softmax_t0.03,0.7373829226152587,0.6860013209985324,0.655,0.7933072656178958
user11,obs_softmax_t0.05,0.7373829226152587,0.6860013209985324,0.655,0.7933072656178958
user11,obs_softmax_t0.1,0.83004455760662,0.8189473704044257,0.655,0.7933072656178958
user11,obs_softmax_t0.2,0.8269528053105393,0.8375818601139293,0.655,0.7933072656178958
user11,obs_softmax_t0.5,0.8083113576429936,0.828020088358906,0.655,0.7933072656178958
user11,obs_softmax_t1.0,0.7873056288078567,0.8140148146422547,0.655,0.7933072656178958
user11,train_majority_prior,0.7873056288078567,0.8140148146422547,0.655,0.7933072656178958
user11,best_train_user_by_observed_1000,0.7373829226152587,0.6860013209985324,0.655,0.7933072656178958
user11,oracle_best_single_train_user_eval,0.7933072656178958,,0.655,0.7933072656178958
user12,obs_softmax_t0.01,0.7219241611348549,0.670925180889824,0.569,0.7753932890788396
user12,obs_softmax_t0.03,0.746658179503501,0.7044567318383196,0.569,0.7753932890788396
user12,obs_softmax_t0.05,0.7970355551514049,0.7854457330528044,0.569,0.7753932890788396
user12,obs_softmax_t0.1,0.782849868145858,0.7924269684062879,0.569,0.7753932890788396
user12,obs_softmax_t0.2,0.7634809493498227,0.7808047929388824,0.569,0.7753932890788396
user12,obs_softmax_t0.5,0.7492043284532145,0.7725994936795471,0.569,0.7753932890788396
user12,obs_softmax_t1.0,0.7458397744839501,0.7699246506217821,0.569,0.7753932890788396
user12,train_majority_prior,0.7458397744839501,0.7699246506217821,0.569,0.7753932890788396
user12,best_train_user_by_observed_1000,0.7219241611348549,0.670925180889824,0.569,0.7753932890788396
user12,oracle_best_single_train_user_eval,0.7753932890788396,,0.569,0.7753932890788396
user13,obs_softmax_t0.01,0.7995817041011185,0.7231746482400668,0.748,0.7995817041011185
user13,obs_softmax_t0.03,0.7995817041011185,0.7231746482400668,0.748,0.7995817041011185
user13,obs_softmax_t0.05,0.7995817041011185,0.7231746482400668,0.748,0.7995817041011185
user13,obs_softmax_t0.1,0.7953987451123034,0.8314029807565673,0.748,0.7995817041011185
user13,obs_softmax_t0.2,0.724197508411385,0.8157685822298892,0.748,0.7995817041011185
user13,obs_softmax_t0.5,0.6579976357188324,0.7841953079963988,0.748,0.7995817041011185
user13,obs_softmax_t1.0,0.6308993361825953,0.7687840182135756,0.748,0.7995817041011185
user13,train_majority_prior,0.5979812676184414,0.749785284484564,0.748,0.7995817041011185
user13,best_train_user_by_observed_1000,0.7995817041011185,0.7231746482400668,0.748,0.7995817041011185
user13,oracle_best_single_train_user_eval,0.7995817041011185,,0.748,0.7995817041011185
user14,obs_softmax_t0.01,0.8475038646903701,0.5920491277733421,0.814,0.863508229517141
user14,obs_softmax_t0.03,0.8475038646903701,0.5920491277733421,0.814,0.863508229517141
user14,obs_softmax_t0.05,0.8475038646903701,0.5920491277733421,0.814,0.863508229517141
user14,obs_softmax_t0.1,0.8746021642266073,0.7654181486051632,0.814,0.863508229517141
user14,obs_softmax_t0.2,0.8595071383104483,0.8416999044300888,0.814,0.863508229517141
user14,obs_softmax_t0.5,0.7780303719196144,0.8498732488930827,0.814,0.863508229517141
user14,obs_softmax_t1.0,0.7429298899699918,0.8344923302121894,0.814,0.863508229517141
user14,train_majority_prior,0.710011821405838,0.8163856729815393,0.814,0.863508229517141
user14,best_train_user_by_observed_1000,0.8475038646903701,0.5920491277733421,0.814,0.863508229517141
user14,oracle_best_single_train_user_eval,0.863508229517141,,0.814,0.863508229517141
user15,obs_softmax_t0.01,0.792034191143039,0.7154554527808641,0.712,0.7933072656178958
user15,obs_softmax_t0.03,0.792034191143039,0.7154554527808641,0.712,0.7933072656178958
user15,obs_softmax_t0.05,0.792034191143039,0.7154554527808641,0.712,0.7933072656178958
user15,obs_softmax_t0.1,0.8258615986178048,0.7794305322188084,0.712,0.7933072656178958
user15,obs_softmax_t0.2,0.8146767300172775,0.8352160287694732,0.712,0.7933072656178958
user15,obs_softmax_t0.5,0.76175320541966,0.8077946656528214,0.712,0.7933072656178958
user15,obs_softmax_t1.0,0.7591161225788852,0.8068688747463552,0.712,0.7933072656178958
user15,train_majority_prior,0.7348367736655451,0.7910063419659963,0.712,0.7933072656178958
user15,best_train_user_by_observed_1000,0.792034191143039,0.7154554527808641,0.712,0.7933072656178958
user15,oracle_best_single_train_user_eval,0.7933072656178958,,0.712,0.7933072656178958
user2,obs_softmax_t0.01,0.808947894880422,0.5926088269963216,0.775,0.8673274529417114
user2,obs_softmax_t0.03,0.808947894880422,0.5926088269963216,0.775,0.8673274529417114
user2,obs_softmax_t0.05,0.808947894880422,0.5926088269963216,0.775,0.8673274529417114
user2,obs_softmax_t0.1,0.8630535600618351,0.7407449116874267,0.775,0.8673274529417114
user2,obs_softmax_t0.2,0.8814222060561971,0.8408376218803699,0.775,0.8673274529417114
user2,obs_softmax_t0.5,0.8267709375284168,0.8709441440195143,0.775,0.8673274529417114
user2,obs_softmax_t1.0,0.8003091752296081,0.8616432212932308,0.775,0.8673274529417114
user2,train_majority_prior,0.7690279167045558,0.8444349904165711,0.775,0.8673274529417114
user2,best_train_user_by_observed_1000,0.808947894880422,0.5926088269963216,0.775,0.8673274529417114
user2,oracle_best_single_train_user_eval,0.8673274529417114,,0.775,0.8673274529417114
user3,obs_softmax_t0.01,0.6059834500318269,0.6484752469533291,0.56,0.8009457124670365
user3,obs_softmax_t0.03,0.6743657361098482,0.7078482233142992,0.56,0.8009457124670365
user3,obs_softmax_t0.05,0.7502046012548877,0.7711150620594407,0.56,0.8009457124670365
user3,obs_softmax_t0.1,0.8104937710284623,0.8182253954922596,0.56,0.8009457124670365
user3,obs_softmax_t0.2,0.8329544421205783,0.8353652544218121,0.56,0.8009457124670365
user3,obs_softmax_t0.5,0.8493225425115941,0.8460601246845838,0.56,0.8009457124670365
user3,obs_softmax_t1.0,0.8493225425115941,0.8460601246845838,0.56,0.8009457124670365
