estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds
grouped_residual_irt_pca_quantile_g8_t035_rp100,100,0.7859629470451452,0.8174644868454233,0.44319477599676965,0.13161865008794202,0.8829977911504148,0.44937552606253917
grouped_residual_irt_pca_quantile_g8_t035_rp200,100,0.7859629470451452,0.8174644868454233,0.44319449108852127,0.13161855027685646,0.8829978520714801,0.4593051846875369
grouped_residual_irt_pca_quantile_g8_t030_rp100,100,0.7858241337497551,0.8171860553080609,0.4431610780943678,0.13160527151245166,0.8829592949986814,0.4412017444999776
grouped_residual_irt_pca_quantile_g8_t030_rp200,100,0.7858241337497551,0.8171860553080609,0.4431607862965624,0.1316051700263327,0.8829593611463483,0.4403092061874361
grouped_residual_irt_pca_quantile_g16_t035_rp100,100,0.7856906097251143,0.8171808018828276,0.4435725118603846,0.13173821149718465,0.8830081869272606,0.4897649141250042
grouped_residual_irt_pca_quantile_g16_t035_rp200,100,0.7856906097251143,0.8171808018828276,0.4435723677533525,0.13173817005662503,0.8830087496745525,0.5120642165624929
grouped_residual_irt_pca_quantile_g16_t030_rp100,100,0.7855982578053133,0.8171282676304951,0.44352699210308455,0.1317200235175894,0.8829821849298729,0.45611784787502074
grouped_residual_irt_pca_quantile_g16_t030_rp200,100,0.7855911149481705,0.8171230142052618,0.4435268212621654,0.13171996992007412,0.8829823333842551,0.48472126243751745
grouped_residual_irt_pca_quantile_g16_t025_rp100,100,0.7852130987876533,0.8171755484575943,0.44348573655199747,0.1317041058186118,0.8829350316216172,0.4525939460000359
grouped_residual_irt_pca_quantile_g16_t025_rp200,100,0.7852091500891444,0.817170295032361,0.4434855292490994,0.1317040368503616,0.8829357827845195,0.4520492936875087
grouped_residual_irt_pca_quantile_g16_t020_rp200,100,0.7851242570993383,0.8172280827099269,0.4434684424787866,0.13169794153855702,0.8829452346539755,0.45427369681249274
grouped_residual_irt_pca_quantile_g16_t020_rp100,100,0.7851188270388437,0.8172280827099269,0.44346868633964526,0.13169802541681375,0.8829461175630374,0.4533827008125684
grouped_residual_irt_pca_quantile_g8_t025_rp100,100,0.784753891597887,0.8173541649155249,0.44313844886738196,0.13159577575713968,0.8830431418196951,0.4523863376250006
grouped_residual_irt_pca_quantile_g8_t025_rp200,100,0.7847467487407441,0.8173489114902917,0.44313815607524176,0.1315956746735132,0.8830430513056808,0.4472425019375237
grouped_residual_irt_pca_quantile_g8_t020_rp200,100,0.7845755548269245,0.8174539799949567,0.4431394214206961,0.1315949099835123,0.8830533858163637,0.43934817518751856
grouped_residual_irt_pca_quantile_g8_t020_rp100,100,0.7845711823629536,0.8174487265697234,0.4431397084569587,0.13159500837361884,0.883052702704108,0.4371380693749529
grouped_residual_irt_pca_quantile_g8_t025_rp200,200,0.7912771384028333,0.8221210901076544,0.4369566661099494,0.1287883767323087,0.886077938391015,0.8891553676249941
grouped_residual_irt_pca_quantile_g8_t025_rp100,200,0.7912739799229466,0.8221157921505468,0.43695723509670303,0.12878857142002928,0.8860774732134709,0.9040934257499771
grouped_residual_irt_pca_quantile_g8_t035_rp100,200,0.7910964191448896,0.8220628125794693,0.43698566399197347,0.12880036874622441,0.8861653340305213,0.8984319506250529
grouped_residual_irt_pca_quantile_g8_t035_rp200,200,0.7910964191448896,0.8220628125794693,0.4369850905738762,0.1288001690648023,0.8861654140306003,0.9131141117499908
grouped_residual_irt_pca_quantile_g8_t030_rp100,200,0.7910960576206508,0.8220840044079003,0.4369630424241373,0.12879093401424138,0.8861107147595394,0.88310220943751
grouped_residual_irt_pca_quantile_g8_t030_rp200,200,0.7910960576206508,0.8220840044079003,0.4369624662620257,0.1287907349055271,0.8861108221988769,0.8798457600624943
grouped_residual_irt_pca_quantile_g16_t030_rp200,200,0.7901240816106541,0.8204204458760702,0.4379714547877642,0.12915498691279936,0.8856868833914286,0.9675706578124732
grouped_residual_irt_pca_quantile_g16_t030_rp100,200,0.7901196032500923,0.8204151479189624,0.4379719140710177,0.12915513318922808,0.8856867943525893,0.9106749074999811
grouped_residual_irt_pca_quantile_g16_t035_rp200,200,0.7900967122046958,0.8202138255488683,0.4379951197964323,0.12916042256444132,0.8857189904498957,0.9951895638749875
grouped_residual_irt_pca_quantile_g16_t035_rp100,200,0.7900868942807814,0.8202032296346529,0.4379955615445597,0.12916056465250428,0.8857190871744661,0.9609336305000511
grouped_residual_irt_pca_quantile_g16_t020_rp100,200,0.7898772827087144,0.8205793845893024,0.43794945031584687,0.12915563903238844,0.8856179571983899,0.9042994325624818
grouped_residual_irt_pca_quantile_g16_t020_rp200,200,0.7898763604886795,0.8205793845893024,0.43794894639929777,0.12915548041808297,0.8856186999323564,0.9095225581249906
grouped_residual_irt_pca_quantile_g16_t025_rp100,200,0.7898629503721438,0.8206005764177333,0.4379547837426734,0.12915317228727682,0.8856560054300932,0.9020109303124855
grouped_residual_irt_pca_quantile_g16_t025_rp200,200,0.7898528458920856,0.820605874374841,0.43795430555378206,0.12915302127696127,0.8856561666557903,0.9047994091250189
grouped_residual_irt_pca_quantile_g8_t020_rp100,200,0.7896735501839531,0.8216071882682038,0.4369570158158568,0.12878921013358385,0.8860769611433528,0.8714411746249482
grouped_residual_irt_pca_quantile_g8_t020_rp200,200,0.7896735501839531,0.8216071882682038,0.4369564552604471,0.1287890205724043,0.8860770962928887,0.8787496213124939
grouped_residual_irt_pca_quantile_g8_t035_rp100,1000,0.7855501738152256,0.8406213058106756,0.40841077750020666,0.11849449808585392,0.898751787778625,1.3486427978125732
grouped_residual_irt_pca_quantile_g8_t035_rp200,1000,0.7855501738152256,0.8406213058106756,0.4084104177980387,0.11849441887649886,0.8987510364110214,1.366073232937481
grouped_residual_irt_pca_quantile_g16_t025_rp100,1000,0.7847357338463941,0.8401325361462217,0.40874508904043466,0.11858988294762582,0.8983679789127681,1.3536941080624558
grouped_residual_irt_pca_quantile_g16_t025_rp200,1000,0.7847357338463941,0.8401325361462217,0.4087445523773566,0.11858974837983383,0.8983678393670262,1.3568266645625329
grouped_residual_irt_pca_quantile_g8_t020_rp200,1000,0.7844111232084712,0.840365554242066,0.4086611930804428,0.11858933457491941,0.8985347525237133,1.3208384363750554
grouped_residual_irt_pca_quantile_g8_t020_rp100,1000,0.7844063051387826,0.8403598708738746,0.40866149484432773,0.11858939109194915,0.8985343918186178,1.307005330937443
grouped_residual_irt_pca_quantile_g8_t025_rp100,1000,0.7843671333031301,0.8404735382377012,0.40857990295170066,0.11856073020976221,0.8986417374986693,1.3488053186249829
grouped_residual_irt_pca_quantile_g8_t025_rp200,1000,0.7843671333031301,0.8404735382377012,0.4085795856743822,0.11856066791549699,0.8986421397189875,1.3387322498750223
grouped_residual_irt_pca_quantile_g16_t030_rp200,1000,0.7842723809759966,0.8400359188869692,0.4087114342351963,0.11857077365238154,0.8984446540061446,1.4585338608750362
grouped_residual_irt_pca_quantile_g16_t030_rp100,1000,0.7842573207350327,0.8400302355187779,0.4087119889081722,0.11857091759013182,0.8984447340988897,1.3649747613750094
grouped_residual_irt_pca_quantile_g16_t020_rp100,1000,0.7839397334496354,0.8401439028826043,0.4087786653098526,0.11860674938411177,0.8983214368639203,1.3606261739375043
grouped_residual_irt_pca_quantile_g16_t020_rp200,1000,0.7839306233250518,0.8401439028826043,0.4087781311561165,0.11860661770885682,0.8983214121982612,1.3644843961250217
grouped_residual_irt_pca_quantile_g8_t030_rp100,1000,0.7839273697782067,0.8403712376102573,0.4084901254216402,0.11852688835382166,0.8987005384966986,1.325916736375035
grouped_residual_irt_pca_quantile_g8_t030_rp200,1000,0.7839273697782067,0.8403712376102573,0.40848978845007566,0.1185268184568657,0.898700514087629,1.3196308707499895
grouped_residual_irt_pca_quantile_g16_t035_rp100,1000,0.78382748988166,0.8398711012094208,0.4086825160925753,0.11855173564146335,0.898518863902512,1.4600860909375228
grouped_residual_irt_pca_quantile_g16_t035_rp200,1000,0.7838205623711302,0.8398654178412294,0.4086819346647481,0.11855157753452013,0.8985193577778652,1.5093642243749912
