dataset_name,data_mode,evaluation_protocol,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user0,user0,100,7,31276,100,11897,0.0,100.0,0.3842848549993505,10.562016887402503,0.7652334570884705,0.23476506682356896,0.5,0.5,0.23476506682356896,0.765234933176431,0.7652339198974698,1.499887730460614e-05,0.0,1.0
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user0,user0,200,7,31276,200,11797,0.0,100.0,0.7665529700007028,10.55794942527858,0.7649387717247009,0.2350597609561753,0.5,0.5,0.2350597609561753,0.7649402390438247,0.7649392257648635,1.499887730460614e-05,0.0,1.0
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user0,user0,1000,7,31276,1000,10997,0.0,100.0,1.148553412000183,10.522746663151942,0.7623881697654724,0.2376102573429117,0.5,0.5,0.2376102573429117,0.7623897426570883,0.7623886697734823,1.499887730460614e-05,0.0,1.0
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user1,user1,100,7,31276,100,11897,0.0,,0.3823184360007872,0.4700456679212069,0.15272316336631775,0.7788518113810204,0.7787928857900994,0.8621655336010845,0.862164709014146,0.8545322846157422,0.041205840108724676,0.5216737389564514,0.19307388417248045,0.37891905522400604
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user1,user1,200,7,31276,200,11797,0.009377949604403813,,0.7681709850003244,0.4859712092837534,0.15995770692825317,0.7660422141222345,0.7682926089225058,0.8635751937861429,0.8631530661940655,0.8563689439371757,0.08617834963590966,0.5167815089225769,0.1948800542510808,0.3889972026786471
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user1,user1,1000,7,31276,1000,10997,0.038843801347610375,,1.153283483999985,0.5126647667324457,0.17194609344005585,0.7423842866236247,0.7519691185023255,0.8755461743120284,0.8709359748489578,0.8728666051293503,0.14775245212376895,0.5014099478721619,0.19196144403019005,0.41147585705192324
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user10,user10,100,7,31276,100,11897,0.0,,0.39533071000005293,0.505342136992092,0.16609646379947662,0.7606119189711692,0.7675420772546309,0.8415606540261689,0.8841001907172297,0.7604616645545752,0.08148412885656474,0.5211102962493896,0.19383037740606876,0.3800958224762545
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user10,user10,200,7,31276,200,11797,0.027178426084151722,,0.7932046389996685,0.48465869168754916,0.1588020622730255,0.7669746545731966,0.749187591355189,0.843523042245786,0.8852895970374114,0.7634880639946187,0.030210718875053798,0.5069473385810852,0.1927608714079851,0.40722217512927017
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user10,user10,1000,7,31276,1000,10997,0.11036420909596262,,1.1914153210000222,0.524713410494023,0.17737019062042236,0.7259252523415477,0.688669173131099,0.8519280604262864,0.8892885420342346,0.7795849200458429,0.12386590565422764,0.463598370552063,0.17022824406656362,0.47803946530872055
responses_static,l2_grouped_residual_strategies,loou_user_generalization,fasttext,l2_grouped_kmeans_fasttext_g8_t010_rp100,fixed_global_sequence,loou_user11,user11,100,7,31276,100,11897,0.0,,0.3850947869996162,0.4827142279091892,0.156833678483963,0.7725477011011179,0.7725114391424646,0.8518685972280666,0.7994227993541514,0.8821278609717392,0.06968894193675866,0.5186301469802856,0.1939984870135328,0.3830377406068757
