dataset_name,data_mode,embedding_backend,estimator,query_policy,split_id,user_id,q,n_train_users,n_words,n_observed_labels,n_eval_labels,normalized_uncertainty_reduction,queries_to_confidence_80,runtime_seconds,nll,brier,accuracy,balanced_accuracy,auroc,average_precision_known,average_precision_unknown,expected_calibration_error,mean_predictive_entropy,uncertain_fraction_0_4_0_6,confident_fraction_0_2_0_8
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user0,user0,100,15,31276,100,11897,0.0,,0.4703055800000584,0.6289474713578158,0.1601845568838871,0.7838950996049424,0.7275805261324138,0.8243298323419801,0.5826123176358415,0.935160766034911,0.12786673807659488,0.4113339989027912,0.07514499453643776,0.5166848785408086
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user0,user0,200,15,31276,200,11797,-0.038107252559321986,,0.9618474300000344,0.6594361596430796,0.16901924861198256,0.7605323387301857,0.7447836923809412,0.8271003872068745,0.5834069741452741,0.9364348403848465,0.15988902855562068,0.42700880748521575,0.14283292362465033,0.5402220903619565
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user0,user0,1000,15,31276,1000,10997,0.019131157785522716,,1.4461537210002007,0.6321694334756254,0.1574463882711219,0.7771210330090025,0.7514490644742746,0.8416141576247723,0.5995484329095909,0.9422366945630913,0.13830862138438904,0.4034647032672319,0.15122306083477313,0.5429662635264163
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user1,user1,100,15,31276,100,11897,0.0,,0.49150923699994564,0.4376345053152917,0.1392321955199299,0.8079347734723039,0.8096309804520292,0.9015340661701923,0.9011362432740857,0.897141444976282,0.09397639828540662,0.48457777977258354,0.1782802387156426,0.419097251407918
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user1,user1,200,15,31276,200,11797,-0.0004887535355643624,,0.9883588719999352,0.4260471744529805,0.1341012101613103,0.811138425023311,0.8127828563016091,0.9041404026538417,0.9034063625179483,0.9004199295132306,0.0806356102591227,0.4848146188757033,0.17673984911418159,0.409765194540985
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user1,user1,1000,15,31276,1000,10997,0.02649669201592634,,1.5152655839999625,0.39656900952377255,0.12126088689816697,0.8436846412657998,0.8441720134034012,0.9179762166176162,0.9161967253274775,0.9133897701758531,0.07971265737793623,0.471738071584188,0.1455851595889788,0.44221151223060834
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user10,user10,100,15,31276,100,11897,0.0,,0.5101865130000078,0.4648070633544493,0.14915180028738395,0.785324031268387,0.7930258974194156,0.872436490668235,0.9058986984843547,0.8184883909375441,0.06828007576635234,0.48484216141037534,0.18248297890224427,0.4121207026981592
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user10,user10,200,15,31276,200,11797,0.004448723314440489,,1.0007364150001195,0.46920949466281425,0.15100137849743675,0.7836738153767907,0.793723291537047,0.87439592519084,0.9078302228259041,0.8214082939649624,0.08276803383174328,0.4826852327830853,0.16453335593795032,0.4156141391879291
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user10,user10,1000,15,31276,1000,10997,0.03344280961030205,,1.515514800000119,0.4376389545136611,0.13713487382093167,0.817677548422297,0.8217032566385538,0.8890903491776911,0.9193353837898544,0.8364628179761437,0.06865593869058075,0.4686276773152808,0.14285714285714285,0.44730381013003545
responses_static,grouped_residual_irt_user_discriminative_rich,fasttext,grouped_residual_irt_kmeans_euclidean_g8_t010_rp100,fixed_global_sequence,loou_user11,user11,100,15,31276,100,11897,0.0,,0.4882451650000803,0.4333083553506808,0.13163225623834013,0.8178532403126839,0.8179308064480496,0.8984601268106605,0.8493915234318725,0.9267530490620636,0.07497960768007637,0.47613084961195556,0.20853996805917457,0.41279314112801546
