model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.41), np.float64(0.15), np.float64(0.07)] | b=0.020",1000,0.8414624443029918,0.8369406522998493,0.3832971609667309,0.11856306541646985,0.9130268326585085
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.35), np.float64(0.43), np.float64(0.15), np.float64(0.07)] | b=0.010",1000,0.8414567609348004,0.8371446272709095,0.3832343774478467,0.11854271493044766,0.9130046024336154
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.43), np.float64(0.14), np.float64(0.07)] | b=0.010",1000,0.8414567609348004,0.8371418399948052,0.38324713806019695,0.11854407035145868,0.9129808706617305
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.42), np.float64(0.14), np.float64(0.07)] | b=0.010",1000,0.8414567609348004,0.837136265442596,0.38327517863242255,0.11855014845366671,0.912992140721187
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.41), np.float64(0.14), np.float64(0.07)] | b=0.010",1000,0.8414567609348004,0.8371320845284393,0.38330342174392024,0.11855630959716813,0.9130027222875197
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.4), np.float64(0.17), np.float64(0.06)] | b=0.020",1000,0.8414567609348004,0.8370122316559453,0.3839054159257781,0.1185734020112127,0.912794179215063
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.44), np.float64(0.13), np.float64(0.07)] | b=0.000",1000,0.8414510775666091,0.837331878585343,0.3832435280803184,0.118539258379846,0.9129401070437142
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.32), np.float64(0.47), np.float64(0.15), np.float64(0.06)] | b=0.010",1000,0.8414510775666091,0.8371869402279083,0.3837242159536374,0.11852265210522729,0.9126824932005387
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.35), np.float64(0.45), np.float64(0.14), np.float64(0.06)] | b=0.010",1000,0.8414510775666091,0.8371771847615426,0.3837894788579621,0.11853534516409435,0.9126799481623025
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.3), np.float64(0.49), np.float64(0.145), np.float64(0.065)] | b=0.010",1000,0.8414510775666091,0.8371716102093334,0.38335222314674433,0.11850935572280426,0.9127872420994295
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.44), np.float64(0.145), np.float64(0.055)] | b=0.020",1000,0.8414510775666091,0.8370085545572195,0.38420193635243255,0.11855350321693146,0.91255575834693
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.4), np.float64(0.155), np.float64(0.065)] | b=0.020",1000,0.8414510775666091,0.8369555963112337,0.383592175639399,0.11856888554986669,0.9129118960019112
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.34), np.float64(0.43), np.float64(0.16), np.float64(0.07)] | b=0.020",1000,0.8414510775666091,0.8369444472068157,0.3832329608848871,0.11855178100684372,0.9130222367603987
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.35), np.float64(0.42), np.float64(0.16), np.float64(0.07)] | b=0.020",1000,0.8414510775666091,0.8369444472068157,0.38326069528666357,0.11855771901196216,0.9130336042394687
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.43), np.float64(0.13), np.float64(0.07)] | b=0.020",1000,0.8414510775666091,0.8369360853785022,0.3832705212748832,0.11855553837992394,0.91295205084568
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.42), np.float64(0.16), np.float64(0.06)] | b=0.010",1000,0.8414453941984178,0.8371776885769735,0.3838468801947824,0.118550934670071,0.9127590604932971
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.44), np.float64(0.14), np.float64(0.06)] | b=0.010",1000,0.8414453941984178,0.8371651458345032,0.3838159163813537,0.11854099971460341,0.9126905700469813
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.4), np.float64(0.4), np.float64(0.14), np.float64(0.06)] | b=0.020",1000,0.8414453941984178,0.8369714301452396,0.38393267245878065,0.11857275141933359,0.9127352007516374
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.4), np.float64(0.165), np.float64(0.065)] | b=0.020",1000,0.8414453941984178,0.8369561001266648,0.38358537815815436,0.11857031260617049,0.9129256077797447
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.4), np.float64(0.41), np.float64(0.12), np.float64(0.07)] | b=0.020",1000,0.8414453941984178,0.8369226528134106,0.3833475235726037,0.11857303584219799,0.9129485272189027
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.4), np.float64(0.15), np.float64(0.07)] | b=0.020",1000,0.8414453941984178,0.836919865537306,0.3833253680754646,0.11856920517476308,0.9130372939253856
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.31), np.float64(0.48), np.float64(0.145), np.float64(0.065)] | b=0.010",1000,0.8414397108302264,0.8371572878216206,0.383378420987361,0.11851478909368424,0.9127991718719219
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.41), np.float64(0.165), np.float64(0.065)] | b=0.020",1000,0.8414397108302264,0.8369552103040434,0.3835578513236939,0.11856435557542619,0.9129145713044626
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.29), np.float64(0.49), np.float64(0.15), np.float64(0.07)] | b=0.020",1000,0.8414397108302264,0.8369468484757299,0.38307881466273896,0.11851692978169619,0.9129345487499603
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.31), np.float64(0.47), np.float64(0.155), np.float64(0.065)] | b=0.010",1000,0.8414340274620351,0.8371647598273129,0.38339412868396944,0.1185198842929713,0.9128295670535945
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.33), np.float64(0.45), np.float64(0.155), np.float64(0.065)] | b=0.010",1000,0.8414340274620351,0.8371508234467903,0.38344741867896937,0.11853109428331605,0.9128538393535506
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.39), np.float64(0.42), np.float64(0.12), np.float64(0.07)] | b=0.020",1000,0.8414340274620351,0.8369180858920635,0.3833193286122879,0.11856687075739197,0.9129359707747505
