estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds
grouped_residual_irt_anchor_cosine_g16_t005_rp200,200,0.7905893296240147,0.8193608544545223,0.43799840612399016,0.12911361831996548,0.886791242757282,0.8981939546250146
grouped_residual_irt_anchor_cosine_g16_t005_rp300,200,0.7905893296240147,0.8193608544545223,0.43799797068486757,0.12911343968356853,0.8867915027620075,0.9105625416249836
grouped_residual_irt_anchor_cosine_g16_t005_rp100,200,0.7905718193243966,0.8193396626260914,0.43800022813755624,0.12911436251040573,0.8867901056741216,0.8776840858125183
grouped_residual_irt_anchor_cosine_g32_t005_rp300,200,0.7894806859567615,0.8175330592523523,0.43887405714169864,0.1294783234972854,0.8863847893266826,0.876281234312529
grouped_residual_irt_anchor_cosine_g32_t005_rp200,200,0.7894795919247555,0.8175224633381368,0.43887839911228904,0.12948004470020574,0.8863765038237434,0.8856408991874503
grouped_residual_irt_anchor_cosine_g32_t005_rp100,200,0.7894741984784088,0.8175065694668135,0.4388869312748256,0.12948344262483785,0.8863578549029385,0.8721999606875102
grouped_residual_irt_anchor_cosine_g16_t010_rp200,200,0.7894084841889822,0.8174323980673053,0.4386207291306165,0.12936912772679962,0.8870625135800344,0.908138623812448
grouped_residual_irt_anchor_cosine_g16_t010_rp300,200,0.7894084841889822,0.8174323980673053,0.43862175629520295,0.12936948599182604,0.8870615757860373,0.8721701735000238
grouped_residual_irt_anchor_cosine_g16_t010_rp100,200,0.7894045007600465,0.8174271001101975,0.43862396551938926,0.12937049063731168,0.8870625956478878,0.9097260174375492
grouped_residual_irt_anchor_cosine_g64_t005_rp100,200,0.7893521388972525,0.8172681613969653,0.43887232650910274,0.12947190108611506,0.8868154738617854,0.8911250960001951
